		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466899	Kept_abundance	0.9999999999999999	1.0	1.0	1.0	0.9795960642154324
SAMEA2466899	Kept_mOTUs	268.0	263.0	226.0	110.0	496.0
SAMEA2466899	Raw_mOTUs	268.0	263.0	226.0	110.0	563.0
SAMEA2466899	Lost_mOTUs	0.0	0.0	0.0	0.0	67.0
SAMEA2466899	Lost_abundance	1.1102230246251565e-16	0.0	0.0	0.0	0.020403935784567562
SAMEA2466899	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.11900532859680284
SAMEA2466900	Kept_abundance	1.0	0.9999999999999999	0.9999999999999998	1.0	0.9395491803278688
SAMEA2466900	Kept_mOTUs	149.0	133.0	116.0	56.0	312.0
SAMEA2466900	Raw_mOTUs	149.0	133.0	116.0	56.0	377.0
SAMEA2466900	Lost_mOTUs	0.0	0.0	0.0	0.0	65.0
SAMEA2466900	Lost_abundance	0.0	1.1102230246251565e-16	2.220446049250313e-16	0.0	0.06045081967213117
SAMEA2466900	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1724137931034483
SAMEA2466901	Kept_abundance	1.0	1.0	1.0	1.0	0.9775568764091
SAMEA2466901	Kept_mOTUs	215.0	216.0	189.0	103.0	377.0
SAMEA2466901	Raw_mOTUs	215.0	216.0	189.0	103.0	444.0
SAMEA2466901	Lost_mOTUs	0.0	0.0	0.0	0.0	67.0
SAMEA2466901	Lost_abundance	0.0	0.0	0.0	0.0	0.02244312359089995
SAMEA2466901	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.15090090090090091
SAMEA2466902	Kept_abundance	0.9999999999999999	1.0000000000000002	0.9999999999999999	1.0000000000000002	0.958436213991769
SAMEA2466902	Kept_mOTUs	142.0	147.0	128.0	72.0	433.0
SAMEA2466902	Raw_mOTUs	142.0	147.0	128.0	72.0	515.0
SAMEA2466902	Lost_mOTUs	0.0	0.0	0.0	0.0	82.0
SAMEA2466902	Lost_abundance	1.1102230246251565e-16	-2.220446049250313e-16	1.1102230246251565e-16	-2.220446049250313e-16	0.04156378600823096
SAMEA2466902	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.15922330097087378
SAMEA2466903	Kept_abundance	1.0	0.9999999999999999	1.0	0.9999999999999999	0.9735071923833176
SAMEA2466903	Kept_mOTUs	265.0	242.0	223.0	101.0	515.0
SAMEA2466903	Raw_mOTUs	265.0	242.0	223.0	101.0	594.0
SAMEA2466903	Lost_mOTUs	0.0	0.0	0.0	0.0	79.0
SAMEA2466903	Lost_abundance	0.0	1.1102230246251565e-16	0.0	1.1102230246251565e-16	0.02649280761668238
SAMEA2466903	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.132996632996633
SAMEA2466904	Kept_abundance	1.0	1.0	1.0	1.0	0.96091574713829
SAMEA2466904	Kept_mOTUs	237.0	223.0	204.0	113.0	482.0
SAMEA2466904	Raw_mOTUs	237.0	223.0	204.0	113.0	559.0
SAMEA2466904	Lost_mOTUs	0.0	0.0	0.0	0.0	77.0
SAMEA2466904	Lost_abundance	0.0	0.0	0.0	0.0	0.03908425286171002
SAMEA2466904	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.13774597495527727
SAMEA2466905	Kept_abundance	1.0	1.0	0.9999999999999999	0.9999999999999998	0.9709338280766853
SAMEA2466905	Kept_mOTUs	196.0	198.0	167.0	95.0	465.0
SAMEA2466905	Raw_mOTUs	196.0	198.0	167.0	95.0	542.0
SAMEA2466905	Lost_mOTUs	0.0	0.0	0.0	0.0	77.0
SAMEA2466905	Lost_abundance	0.0	0.0	1.1102230246251565e-16	2.220446049250313e-16	0.029066171923314732
SAMEA2466905	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.14206642066420663
SAMEA2466906	Kept_abundance	0.9999999999999999	1.0	0.9999999999999999	1.0	0.9549493697044844
SAMEA2466906	Kept_mOTUs	275.0	290.0	244.0	122.0	488.0
SAMEA2466906	Raw_mOTUs	275.0	290.0	244.0	122.0	577.0
SAMEA2466906	Lost_mOTUs	0.0	0.0	0.0	0.0	89.0
SAMEA2466906	Lost_abundance	1.1102230246251565e-16	0.0	1.1102230246251565e-16	0.0	0.04505063029551559
SAMEA2466906	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.15424610051993068
SAMEA2466907	Kept_abundance	1.0	1.0	0.9999999999999998	1.0000000000000002	0.9654078395251253
SAMEA2466907	Kept_mOTUs	116.0	123.0	100.0	69.0	333.0
SAMEA2466907	Raw_mOTUs	116.0	123.0	100.0	69.0	394.0
SAMEA2466907	Lost_mOTUs	0.0	0.0	0.0	0.0	61.0
SAMEA2466907	Lost_abundance	0.0	0.0	2.220446049250313e-16	-2.220446049250313e-16	0.03459216047487468
SAMEA2466907	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1548223350253807
SAMEA2466908	Kept_abundance	1.0	1.0	1.0	1.0	0.9714433523021211
SAMEA2466908	Kept_mOTUs	271.0	280.0	238.0	123.0	481.0
SAMEA2466908	Raw_mOTUs	271.0	280.0	238.0	123.0	553.0
SAMEA2466908	Lost_mOTUs	0.0	0.0	0.0	0.0	72.0
SAMEA2466908	Lost_abundance	0.0	0.0	0.0	0.0	0.028556647697878912
SAMEA2466908	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1301989150090416
SAMEA2466910	Kept_abundance	1.0	0.9999999999999999	1.0	1.0000000000000002	0.966336224700537
SAMEA2466910	Kept_mOTUs	220.0	222.0	192.0	94.0	465.0
SAMEA2466910	Raw_mOTUs	220.0	222.0	192.0	94.0	544.0
SAMEA2466910	Lost_mOTUs	0.0	0.0	0.0	0.0	79.0
SAMEA2466910	Lost_abundance	0.0	1.1102230246251565e-16	0.0	-2.220446049250313e-16	0.03366377529946296
SAMEA2466910	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.14522058823529413
SAMEA2466911	Kept_abundance	1.0	1.0	1.0	1.0	0.9773502947564379
SAMEA2466911	Kept_mOTUs	328.0	315.0	283.0	139.0	514.0
SAMEA2466911	Raw_mOTUs	328.0	315.0	283.0	139.0	585.0
SAMEA2466911	Lost_mOTUs	0.0	0.0	0.0	0.0	71.0
SAMEA2466911	Lost_abundance	0.0	0.0	0.0	0.0	0.022649705243562135
SAMEA2466911	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.12136752136752137
SAMEA2466912	Kept_abundance	1.0	1.0	1.0	1.0	0.9818999897740055
SAMEA2466912	Kept_mOTUs	150.0	153.0	125.0	75.0	352.0
SAMEA2466912	Raw_mOTUs	150.0	153.0	125.0	75.0	409.0
SAMEA2466912	Lost_mOTUs	0.0	0.0	0.0	0.0	57.0
SAMEA2466912	Lost_abundance	0.0	0.0	0.0	0.0	0.0181000102259945
SAMEA2466912	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1393643031784841
SAMEA2466913	Kept_abundance	1.0	1.0	1.0	1.0	0.96225636794885
SAMEA2466913	Kept_mOTUs	262.0	258.0	229.0	115.0	496.0
SAMEA2466913	Raw_mOTUs	262.0	258.0	229.0	115.0	583.0
