sample	stat	space	simu	reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2467032	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0	0.0	0.0	0.0
SAMEA2467032	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467085	Kept_abundance	gtdb207	refKrak	0.9999999999999998	0.9997009402631272	0.9999999999999998	1.0	1.0
SAMEA2467085	Kept_mOTUs	gtdb207	refKrak	735.0	443.0	315.0	137.0	636.0
SAMEA2467085	Raw_mOTUs	gtdb207	refKrak	735.0	444.0	315.0	137.0	636.0
SAMEA2467085	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA2467085	Lost_abundance	gtdb207	refKrak	2.220446049250313e-16	0.0002990597368728	2.220446049250313e-16	0.0	1.1102230246251563e-16
SAMEA2467085	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0022522522522522	0.0	0.0	0.0
SAMEA2466902	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0000000000000002	1.0	1.0000000000000002
SAMEA2466902	Kept_mOTUs	gtdb207	refKrak	512.0	466.0	410.0	173.0	653.0
SAMEA2466902	Raw_mOTUs	gtdb207	refKrak	512.0	466.0	410.0	173.0	653.0
SAMEA2466902	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2466902	Lost_abundance	gtdb207	refKrak	0.0	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-16
SAMEA2466902	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3178939	Kept_abundance	gtdb207	refKrak	1.0	0.9991784567965144	1.0000000000000002	1.0	1.0
SAMEA3178939	Kept_mOTUs	gtdb207	refKrak	444.0	422.0	369.0	158.0	637.0
SAMEA3178939	Raw_mOTUs	gtdb207	refKrak	444.0	424.0	369.0	158.0	637.0
SAMEA3178939	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA3178939	Lost_abundance	gtdb207	refKrak	0.0	0.0008215432034857	-2.220446049250313e-16	0.0	1.1102230246251563e-16
SAMEA3178939	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0047169811320754	0.0	0.0	0.0
SAMEA2467021	Kept_abundance	gtdb207	refKrak	1.0	0.9992967011978682	1.0	1.0	1.0
SAMEA2467021	Kept_mOTUs	gtdb207	refKrak	597.0	539.0	481.0	191.0	737.0
SAMEA2467021	Raw_mOTUs	gtdb207	refKrak	597.0	541.0	481.0	191.0	737.0
SAMEA2467021	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467021	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0007032988021318	0.0	1.1102230246251563e-16	0.0
SAMEA2467021	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0036968576709796	0.0	0.0	0.0
SAMEA2467070	Kept_abundance	gtdb207	refKrak	1.0	0.9994213753097791	1.0	0.9999999999999998	0.9999999999999998
SAMEA2467070	Kept_mOTUs	gtdb207	refKrak	519.0	475.0	401.0	164.0	653.0
SAMEA2467070	Raw_mOTUs	gtdb207	refKrak	519.0	477.0	401.0	164.0	653.0
SAMEA2467070	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467070	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0005786246902208	0.0	2.220446049250313e-16	2.220446049250313e-16
SAMEA2467070	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0041928721174004	0.0	0.0	0.0
SAMEA2467057	Kept_abundance	gtdb207	refKrak	1.0	0.9995606854416969	1.0	1.0000000000000002	1.0
SAMEA2467057	Kept_mOTUs	gtdb207	refKrak	441.0	419.0	365.0	137.0	545.0
SAMEA2467057	Raw_mOTUs	gtdb207	refKrak	441.0	421.0	365.0	137.0	545.0
SAMEA2467057	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467057	Lost_abundance	gtdb207	refKrak	0.0	0.0004393145583032	0.0	-2.220446049250313e-16	0.0
SAMEA2467057	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.004750593824228	0.0	0.0	0.0
SAMEA3136623	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0	1.0	1.0
SAMEA3136623	Kept_mOTUs	gtdb207	refKrak	298.0	287.0	250.0	94.0	506.0
SAMEA3136623	Raw_mOTUs	gtdb207	refKrak	298.0	287.0	250.0	94.0	506.0
SAMEA3136623	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136623	Lost_abundance	gtdb207	refKrak	0.0	0.0	0.0	1.1102230246251563e-16	0.0
SAMEA3136623	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467034	Kept_abundance	gtdb207	refKrak	1.0	0.9997334840069704	1.0	1.0	0.9999999999999998
SAMEA2467034	Kept_mOTUs	gtdb207	refKrak	585.0	551.0	490.0	195.0	672.0
SAMEA2467034	Raw_mOTUs	gtdb207	refKrak	585.0	552.0	490.0	195.0	672.0
SAMEA2467034	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA2467034	Lost_abundance	gtdb207	refKrak	0.0	0.0002665159930296	0.0	1.1102230246251563e-16	2.220446049250313e-16
SAMEA2467034	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0018115942028985	0.0	0.0	0.0
SAMEA3136683	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0	1.0	1.0
SAMEA3136683	Kept_mOTUs	gtdb207	refKrak	563.0	524.0	461.0	163.0	717.0
SAMEA3136683	Raw_mOTUs	gtdb207	refKrak	563.0	524.0	461.0	163.0	717.0
SAMEA3136683	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136683	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0	0.0	0.0	0.0
SAMEA3136683	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136734	Kept_abundance	gtdb207	refKrak	0.9999999999999998	0.9996769331444856	1.0	0.9999999999999998	1.0
SAMEA3136734	Kept_mOTUs	gtdb207	refKrak	524.0	511.0	453.0	218.0	690.0
SAMEA3136734	Raw_mOTUs	gtdb207	refKrak	524.0	512.0	453.0	218.0	690.0
SAMEA3136734	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA3136734	Lost_abundance	gtdb207	refKrak	2.220446049250313e-16	0.0003230668555143	0.0	2.220446049250313e-16	0.0
SAMEA3136734	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.001953125	0.0	0.0	0.0
SAMEA2467059	Kept_abundance	gtdb207	refKrak	1.0000000000000002	1.0	0.9999999999999998	1.0	1.0000000000000002
SAMEA2467059	Kept_mOTUs	gtdb207	refKrak	439.0	350.0	298.0	128.0	548.0
SAMEA2467059	Raw_mOTUs	gtdb207	refKrak	439.0	350.0	298.0	128.0	548.0
SAMEA2467059	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467059	Lost_abundance	gtdb207	refKrak	-2.220446049250313e-16	0.0	2.220446049250313e-16	0.0	-2.220446049250313e-16
SAMEA2467059	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136760	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0	1.0	1.0000000000000002
SAMEA3136760	Kept_mOTUs	gtdb207	refKrak	621.0	568.0	501.0	180.0	989.0
SAMEA3136760	Raw_mOTUs	gtdb207	refKrak	621.0	568.0	501.0	180.0	989.0
SAMEA3136760	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136760	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	1.1102230246251563e-16	0.0	0.0	-2.220446049250313e-16
SAMEA3136760	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467010	Kept_abundance	gtdb207	refKrak	1.0000000000000002	0.9995989655598744	1.0	1.0	1.0
SAMEA2467010	Kept_mOTUs	gtdb207	refKrak	346.0	345.0	296.0	133.0	459.0
SAMEA2467010	Raw_mOTUs	gtdb207	refKrak	346.0	346.0	296.0	133.0	459.0
SAMEA2467010	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA2467010	Lost_abundance	gtdb207	refKrak	-2.220446049250313e-16	0.0004010344401256	0.0	1.1102230246251563e-16	0.0
SAMEA2467010	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0028901734104046	0.0	0.0	0.0
SAMEA2467072	Kept_abundance	gtdb207	refKrak	1.0	0.996808574111472	0.9999999999999998	1.0	1.0
SAMEA2467072	Kept_mOTUs	gtdb207	refKrak	709.0	636.0	556.0	184.0	793.0
SAMEA2467072	Raw_mOTUs	gtdb207	refKrak	709.0	639.0	556.0	184.0	793.0
SAMEA2467072	Lost_mOTUs	gtdb207	refKrak	0.0	3.0	0.0	0.0	0.0
SAMEA2467072	Lost_abundance	gtdb207	refKrak	0.0	0.003191425888528	2.220446049250313e-16	0.0	0.0
SAMEA2467072	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0046948356807511	0.0	0.0	0.0
SAMEA3136727	Kept_abundance	gtdb207	refKrak	1.0	1.0000000000000002	1.0	1.0	0.9999999999999998
SAMEA3136727	Kept_mOTUs	gtdb207	refKrak	676.0	607.0	535.0	198.0	798.0
SAMEA3136727	Raw_mOTUs	gtdb207	refKrak	676.0	607.0	535.0	198.0	798.0
SAMEA3136727	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136727	Lost_abundance	gtdb207	refKrak	0.0	-2.220446049250313e-16	0.0	0.0	2.220446049250313e-16
