	space	simu	simulation	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2467002	gtdb207	refKrak	377	599	119	348	325
SAMEA2467003	gtdb207	refKrak	615	696	176	484	435
SAMEA2467004	gtdb207	refKrak	505	640	174	423	409
SAMEA2467006	gtdb207	refKrak	379	580	141	349	350
SAMEA2467008	gtdb207	refKrak	438	633	170	394	366
SAMEA2467009	gtdb207	refKrak	195	357	63	164	145
SAMEA2467010	gtdb207	refKrak	332	459	130	306	296
SAMEA2467011	gtdb207	refKrak	416	571	144	348	320
SAMEA2467012	gtdb207	refKrak	607	745	177	516	487
SAMEA2467013	gtdb207	refKrak	612	713	204	503	485
SAMEA2467014	gtdb207	refKrak	541	721	171	467	443
SAMEA2467015	gtdb207	refKrak	574	704	185	495	482
SAMEA2467016	gtdb207	refKrak	577	745	203	481	470
SAMEA2467017	gtdb207	refKrak	602	757	202	496	493
SAMEA2467018	gtdb207	refKrak	476	649	161	406	392
SAMEA2467019	gtdb207	refKrak	650	818	201	569	565
SAMEA2467020	gtdb207	refKrak	551	678	189	499	481
SAMEA2467021	gtdb207	refKrak	570	737	186	488	477
SAMEA2467022	gtdb207	refKrak	625	757	194	536	533
SAMEA2467023	gtdb207	refKrak	406	560	149	354	336
SAMEA2467024	gtdb207	refKrak	457	670	143	408	396
SAMEA2467025	gtdb207	refKrak	571	763	181	505	492
SAMEA2467026	gtdb207	refKrak	644	777	186	516	480
SAMEA2467027	gtdb207	refKrak	594	881	176	539	517
SAMEA2467028	gtdb207	refKrak	544	690	166	473	452
SAMEA2467029	gtdb207	refKrak	593	765	186	526	515
SAMEA2467030	gtdb207	refKrak	519	656	160	442	431
SAMEA2467031	gtdb207	refKrak	517	663	155	456	451
SAMEA2467032	gtdb207	refKrak	294	406	102	233	225
SAMEA2467033	gtdb207	refKrak	420	591	159	358	307
SAMEA2467034	gtdb207	refKrak	555	672	188	494	485
SAMEA2467035	gtdb207	refKrak	736	842	223	612	583
SAMEA2467036	gtdb207	refKrak	692	829	205	596	565
SAMEA2467037	gtdb207	refKrak	507	639	156	411	393
SAMEA2467038	gtdb207	refKrak	392	514	119	286	263
