	simu	space	L1	L2	JSD	Mantel (Pearson)	Mantel (Spearman)
kraken2 + bracken	refKrak	gtdb207	2113.417365241396	10.243176057866265	0.0129003559843913	0.9817968081908583	0.980284919850855
metaphlan3	refKrak	gtdb207	1789.221589493265	9.819737649963455	0.0191960494893528	0.9340645033216184	0.9328541853800114
motus3	refKrak	gtdb207	558.7568308524632	3.1799514612069686	0.0062343198757766	0.9911293199730288	0.9913459909054778
metaphlan4	refKrak	gtdb207	623.2674812013651	3.008601214310138	0.0042201795626604	0.9959290743472398	0.9960274552364088
kraken2 + bracken	refKrak	uhgg	2273.2402140968948	10.954449589686424	0.0132812012233358	0.9803872037414432	0.978796746987328
metaphlan3	refKrak	uhgg	1814.6846493984651	9.947859161131923	0.0193549817532235	0.933529117064222	0.9323250063254344
motus3	refKrak	uhgg	558.43328676717	3.2066413233046958	0.0063072157809093	0.9908835491674104	0.9911161074625956
metaphlan4	refKrak	uhgg	581.1280473202856	2.834134157141498	0.0041627328985867	0.9960178975921616	0.9961206890392154
kraken2 + bracken	refMet4	gtdb207	2082.2067442020707	9.784716982965907	0.009921382594898	0.9782475041814136	0.9778059811367104
metaphlan3	refMet4	gtdb207	1987.3366915765243	11.024870838991404	0.0192759699229001	0.9121998911325196	0.9117888261272162
motus3	refMet4	gtdb207	554.6469572500878	3.3362217948770057	0.0060871246467885	0.9875507878452788	0.9879682749247414
metaphlan4	refMet4	gtdb207	239.1992876069176	1.243849396303908	0.0017210179042725	0.9989702149691996	0.9988635669657516
kraken2 + bracken	refMet4	uhgg	2101.839289792872	9.852909357668352	0.0098279114266489	0.9779285875344426	0.9775008443381844
metaphlan3	refMet4	uhgg	2012.45660301133	11.140665718119786	0.0193784520243813	0.911607205488842	0.9111346294866176
motus3	refMet4	uhgg	559.5691798121832	3.3949986752912884	0.0061937523085551	0.987090309346587	0.9873817024309284
metaphlan4	refMet4	uhgg	228.56497327471857	1.19907491521592	0.0016923912148629	0.9990043892182856	0.9988990659126014
