	space	simu	simulation	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	gtdb207	refKrak	6.9608544337739175	7.291866275131229	5.5174611701313765	6.792781372698532	6.5978357503484135
SAMEA2466888	gtdb207	refKrak	7.119443448112906	7.513809879174705	5.512103376910143	6.886000108815843	6.889415552565205
SAMEA2466889	gtdb207	refKrak	7.193082441197608	7.586101273586792	5.659170503660912	6.921047165774732	6.672028520919232
SAMEA2466890	gtdb207	refKrak	7.110169742953056	7.358030717743524	5.447138935718845	7.150390138675249	6.725652441122498
SAMEA2466891	gtdb207	refKrak	7.11715693907802	7.479509539991636	5.619064860628513	6.9687712006532765	6.80396524377404
SAMEA2466892	gtdb207	refKrak	6.5468966971866	6.6230771807607205	5.053085182497792	6.548270698062551	6.193846303283727
SAMEA2466893	gtdb207	refKrak	6.292338720105623	6.854770309136581	5.346508929669614	5.980498357570824	6.038054787852876
SAMEA2466894	gtdb207	refKrak	6.286834795058132	6.763843857199885	4.91190365233376	6.152243139789497	5.940558172604639
SAMEA2466895	gtdb207	refKrak	6.217050466299542	6.604728141944952	4.473800547600544	6.244551995940284	5.792152273884784
SAMEA2466896	gtdb207	refKrak	5.46836966121885	6.464977707639814	3.725516286937415	5.119162306036783	5.103338710597289
SAMEA2466897	gtdb207	refKrak	7.253594381262823	7.510540647367486	5.688038390655883	7.178004473507917	6.894926283326613
SAMEA2466898	gtdb207	refKrak	7.145178457398439	7.668826130205872	5.761073412003006	6.947065947809876	6.864840315731519
SAMEA2466899	gtdb207	refKrak	7.206927448685839	7.599907363447416	5.416828316809854	7.076503665928458	6.756979574952221
SAMEA2466900	gtdb207	refKrak	5.244582463791115	5.775869378876648	3.64168894051014	5.202884073751997	4.789597108741686
SAMEA2466901	gtdb207	refKrak	6.324423326349465	6.861374865866079	5.481051561414653	6.086495149554158	6.054349563742095
SAMEA2466902	gtdb207	refKrak	6.318239283159126	6.914578252252334	5.064707546011637	6.182354276656694	5.911557470473835
SAMEA2466903	gtdb207	refKrak	7.2969722098389855	7.65707032103847	5.652247225335235	7.149549380427741	6.927904690352366
SAMEA2466904	gtdb207	refKrak	6.981500048083721	7.4827413576861295	5.51076610222466	6.763082329737311	6.54098995323959
SAMEA2466905	gtdb207	refKrak	6.817063779706811	7.389335458815836	5.362663947100009	6.597306797768934	6.494141049817393
SAMEA2466906	gtdb207	refKrak	7.022503145711086	7.268833060491537	5.50078398288288	6.933632223185204	6.767923568801613
SAMEA2466907	gtdb207	refKrak	5.599921743108853	6.05814445078281	4.479828970921846	5.426887853454124	5.202542150050139
SAMEA2466908	gtdb207	refKrak	7.073183710065113	7.383483977977159	5.515006561884939	6.832637323434804	6.79521373016114
SAMEA2466910	gtdb207	refKrak	7.034742951773729	7.515357193348998	5.1924801448300375	6.883237261192292	6.572312421067309
SAMEA2466911	gtdb207	refKrak	7.609022163291375	7.726427455620558	5.923378975934133	7.4947048106859615	7.292485331678424
SAMEA2466912	gtdb207	refKrak	6.067134341242928	6.410057594728561	4.637113351736384	6.054619066298039	5.739656016471861
SAMEA2466913	gtdb207	refKrak	6.903805679556076	7.143555845511041	4.992787986401403	6.996092066647145	6.3633283256609
SAMEA2466914	gtdb207	refKrak	6.547988788483804	6.658783792010793	5.311815804115261	6.137653698167827	6.168155647462184
SAMEA2466915	gtdb207	refKrak	5.961443632638587	6.404968887190809	5.056647554361208	5.926368633010375	5.620120384362437
SAMEA2466916	gtdb207	refKrak	6.100184006291618	6.628872735289477	4.423326806048882	5.999573575603265	5.652582588802053
SAMEA2466917	gtdb207	refKrak	4.940360126881738	5.57000943309775	3.942843339705458	4.747075540797544	4.5830559864412335
SAMEA2466918	gtdb207	refKrak	6.484680789735074	6.744367319309133	4.897864999693699	6.47335216031083	6.208786233360463
