mOTU	msp
meta_mOTU_v3_12327	msp_0047
meta_mOTU_v3_12649	msp_1174
meta_mOTU_v3_12780	msp_0599
meta_mOTU_v3_13625	msp_0528
meta_mOTU_v3_12563	msp_0572
ext_mOTU_v3_26642	msp_0800
ext_mOTU_v3_26315	msp_0125
ref_mOTU_v3_00902	msp_0983:0.48821271929824567,msp_1341:0.5117872807017544
ext_mOTU_v3_18108	msp_1178
ref_mOTU_v3_02700	msp_0138:0.30608795300226943,msp_0570:0.022723370416812414,msp_0910:0.6711886765809181
meta_mOTU_v3_12668	msp_0314
ext_mOTU_v3_26374	msp_0196
ref_mOTU_v3_00718	msp_0123:0.9789344191744475,msp_0275:0.021065580825552495
ext_mOTU_v3_17409	msp_1837
meta_mOTU_v3_12374	msp_0673
ref_mOTU_v3_07733	msp_0361
meta_mOTU_v3_12239	msp_0124
meta_mOTU_v3_13422	msp_1192
ext_mOTU_v3_17613	msp_1989
meta_mOTU_v3_13876	msp_0044
ext_mOTU_v3_26695	msp_0259:0.4411460906273859,msp_0346:0.5588539093726141
ext_mOTU_v3_17615	msp_0345
ext_mOTU_v3_16237	msp_0029
meta_mOTU_v3_13797	msp_1146
meta_mOTU_v3_14136	msp_1197
ref_mOTU_v3_02154	msp_0076
ext_mOTU_v3_26456	msp_0025:0.1463236603846967,msp_0070:0.8239432753595117,msp_0201:0.0053555970597866515,msp_0411:0.006515913430537887,msp_0613:0.01786155376546703
ext_mOTU_v3_16264	msp_0759
ext_mOTU_v3_15395	msp_0186:0.014753796508398195,msp_0233:0.003563485276891804,msp_1183:0.98168271821471
ref_mOTU_v3_03696	msp_0216
ext_mOTU_v3_26451	msp_0022
ext_mOTU_v3_26655	msp_0147
meta_mOTU_v3_12848	msp_1221
ref_mOTU_v3_03446	msp_0014
meta_mOTU_v3_12924	msp_1122
ref_mOTU_v3_10414	msp_1182
ext_mOTU_v3_28965	msp_1763
meta_mOTU_v3_12808	msp_0438
ref_mOTU_v3_02375	msp_0029
ext_mOTU_v3_17450	msp_0699
ext_mOTU_v3_15440	msp_0396
meta_mOTU_v3_13785	msp_0717
ext_mOTU_v3_17587	msp_0121:0.00853633726039282,msp_0192:0.03544461632733878,msp_0240:0.18199397588085192,msp_0306:0.06436691548599546,msp_0477:0.005419483221663055,msp_0747:0.08281337100256528,msp_1626:0.6214253008211926
ref_mOTU_v3_07593	msp_1187
ext_mOTU_v3_18277	msp_0462
ext_mOTU_v3_17761	msp_0291
meta_mOTU_v3_13671	msp_1466
meta_mOTU_v3_12257	msp_0327
meta_mOTU_v3_14164	msp_1064
meta_mOTU_v3_12487	msp_0207:0.9718956819141048,msp_0247:0.011463973593595892,msp_1020:0.01664034449229931
ext_mOTU_v3_26310	msp_0477
meta_mOTU_v3_13432	msp_0705
ref_mOTU_v3_07680	msp_0529
ref_mOTU_v3_00717	msp_0123:0.025532409690158096,msp_0275:0.974467590309842
meta_mOTU_v3_13155	msp_1270
meta_mOTU_v3_12375	msp_1129
meta_mOTU_v3_12785	msp_0145:0.004999086794429773,msp_0202:0.9950009132055703
meta_mOTU_v3_12623	msp_0541
ext_mOTU_v3_26588	msp_0453
meta_mOTU_v3_13105	msp_0859
ext_mOTU_v3_17479	msp_0141
ext_mOTU_v3_26375	msp_0016:0.18913705296225042,msp_0043:0.02043364073437292,msp_0046:0.7904293063033766
ext_mOTU_v3_17630	msp_0559:0.9902084513400718,msp_0705:0.0007062391183611482,msp_0780:0.009085309541567074
ref_mOTU_v3_03596	msp_0217
ext_mOTU_v3_17668	msp_0608
