mOTU	msp
meta_mOTU_v3_13806	msp_0467
meta_mOTU_v3_13285	msp_0525
meta_mOTU_v3_13115	msp_0430
ext_mOTU_v3_16238	msp_0029
ref_mOTU_v3_03341	msp_0331
meta_mOTU_v3_13714	msp_1369
ref_mOTU_v3_07645	msp_0582
ref_mOTU_v3_07624	msp_0343
ext_mOTU_v3_18125	msp_0034:0.016003392768346777,msp_0425:0.07163201745235231,msp_0903:0.8846837403442691,msp_1143:0.02768084943503176
ext_mOTU_v3_16370	msp_0467
ref_mOTU_v3_03651	msp_0127
ext_mOTU_v3_15352	msp_0933
ref_mOTU_v3_08871	msp_0379
ext_mOTU_v3_17394	msp_0017
ref_mOTU_v3_02377	msp_0179
ref_mOTU_v3_11862	msp_0785
meta_mOTU_v3_12256	msp_0440
ext_mOTU_v3_23670	msp_0697
meta_mOTU_v3_12829	msp_0335
ref_mOTU_v3_05402	msp_0027:0.04065488891165323,msp_0083:0.39170286753855055,msp_0264:0.5676422435497963
meta_mOTU_v3_12551	msp_1210
ref_mOTU_v3_02555	msp_0201:0.44736913256828087,msp_0411:0.5526308674317191
meta_mOTU_v3_12371	msp_0317
ext_mOTU_v3_17927	msp_0442
ext_mOTU_v3_17949	msp_1316
meta_mOTU_v3_12390	msp_0904
ext_mOTU_v3_26728	msp_0291
ext_mOTU_v3_19462	msp_1156
ext_mOTU_v3_16317	msp_1009:0.2534005037783375,msp_1051:0.7465994962216624
ext_mOTU_v3_26318	msp_0013
ext_mOTU_v3_18001	msp_0763:0.12567863462792875,msp_0841:0.17848104319677582,msp_0965:0.5718671283113489,msp_0988:0.07821997020742086,msp_1105:0.04575322365652566
ref_mOTU_v3_06159	msp_1747
ext_mOTU_v3_26392	msp_0007:0.010262192772225563,msp_0026:0.48259360502700127,msp_0059:0.27132685194939576,msp_0097:0.19647087664000945,msp_0230:0.03934647361136804
ref_mOTU_v3_03443	msp_0009:0.08006327903938636,msp_0020:0.0267949819104958,msp_0135:0.893141739050118
ext_mOTU_v3_17783	msp_0137:0.901229462610289,msp_0260:0.09877053738971107
meta_mOTU_v3_12231	msp_0512
meta_mOTU_v3_13202	msp_0065:0.030625749141374375,msp_0756:0.9693742508586256
meta_mOTU_v3_13067	msp_1775
ext_mOTU_v3_27019	msp_0531
ext_mOTU_v3_26890	msp_0739c
ref_mOTU_v3_05401	msp_0027:0.9715248747070664,msp_0316:0.028475125292933542
meta_mOTU_v3_12513	msp_1093
ext_mOTU_v3_17876	msp_0185
ref_mOTU_v3_02152	msp_0113:0.9955856779637687,msp_0180:0.004414322036231295
ext_mOTU_v3_18049	msp_1077:0.9656552684663968,msp_1124:0.03434473153360324
ref_mOTU_v3_11859	msp_0868
ref_mOTU_v3_03591	msp_0025
ext_mOTU_v3_17989	msp_0465:0.12997698425813226,msp_0532:0.10242962341536392,msp_0672:0.34399038429188783,msp_1182:0.42360300803461587
ext_mOTU_v3_26286	msp_0138:0.48307663685505275,msp_0166:0.034601164719189,msp_0263:0.0011208437324159166,msp_0419:0.10826558407873857,msp_0910:0.3729357706146037
ext_mOTU_v3_18137	msp_0234:0.02174408605946596,msp_1332:0.9782559139405341
ext_mOTU_v3_17856	msp_0043
meta_mOTU_v3_12490	msp_0369
ref_mOTU_v3_07672	msp_0047:0.9990836188422607,msp_0444:0.0009163811577393854
meta_mOTU_v3_13927	msp_0577
meta_mOTU_v3_13014	msp_1283
ext_mOTU_v3_16312	msp_0177
ref_mOTU_v3_07619	msp_0186
meta_mOTU_v3_12234	msp_0578
ref_mOTU_v3_07714	msp_0811
meta_mOTU_v3_13173	msp_0912
ref_mOTU_v3_11181	msp_0883
meta_mOTU_v3_13868	msp_1348
ext_mOTU_v3_26707	msp_0013
meta_mOTU_v3_12719	msp_0656
ext_mOTU_v3_26994	msp_0346
ref_mOTU_v3_03438	msp_0522
ref_mOTU_v3_03654	msp_0708
meta_mOTU_v3_13395	msp_0888
ext_mOTU_v3_26694	msp_0121:0.10799117337897446,msp_0306:0.8397049889530217,msp_0398:0.04103659462269706,msp_0747:0.0112672430453069
meta_mOTU_v3_12654	msp_0147
ref_mOTU_v3_04416	msp_1237
meta_mOTU_v3_12437	msp_0121
ref_mOTU_v3_04337	msp_0697
meta_mOTU_v3_12516	msp_0747
ref_mOTU_v3_01683	msp_0111
ref_mOTU_v3_04716	msp_0172
ref_mOTU_v3_03593	msp_0230
meta_mOTU_v3_12774	msp_0965
ext_mOTU_v3_26970	msp_1177
ref_mOTU_v3_07592	msp_0170
ext_mOTU_v3_26620	msp_0301:0.9893579995373795,msp_0331:0.008148707810012644,msp_0345:0.0024932926526078847
ext_mOTU_v3_26329	msp_0196:0.0024101355129751037,msp_0214:0.0005366658135776985,msp_0417:0.8808513637149724,msp_0490:0.010229717819125954,msp_0922:0.012106038687099833,msp_1531c:0.09386607845224897
meta_mOTU_v3_13949	msp_0016:0.008012956028170553,msp_1207:0.9919870439718295
ext_mOTU_v3_17832	msp_1297
ref_mOTU_v3_10124	msp_0573:0.7361018294466335,msp_0638:0.2526602640937069,msp_1009:0.011237906459659483
ref_mOTU_v3_07727	msp_0654
ref_mOTU_v3_01303	msp_0916
ref_mOTU_v3_10246	msp_0946
ext_mOTU_v3_26610	msp_0077:0.3715931541739068,msp_2014:0.6284068458260931
ext_mOTU_v3_16396	msp_0353:0.0007388259402934709,msp_1687:0.9908566172668359,msp_1709:0.008404556792870556
ext_mOTU_v3_18109	msp_1029
meta_mOTU_v3_12416	msp_0038
ref_mOTU_v3_07726	msp_0258
meta_mOTU_v3_13168	msp_0622
ref_mOTU_v3_02187	msp_1866
meta_mOTU_v3_13544	msp_1151
ext_mOTU_v3_17570	msp_1109
meta_mOTU_v3_13535	msp_1235
ext_mOTU_v3_17395	msp_0017
ext_mOTU_v3_33798	msp_0298:0.8738842754877356,msp_1227c:0.06384872394698822,msp_1244:0.030839055468194227,msp_1596:0.03142794509708194
meta_mOTU_v3_12844	msp_1293
meta_mOTU_v3_12524	msp_0233
ext_mOTU_v3_26980	msp_2063
ext_mOTU_v3_26383	msp_0408:0.8288016625808075,msp_0691:0.17119833741919255
ref_mOTU_v3_07650	msp_0909
ext_mOTU_v3_18088	msp_0926
ext_mOTU_v3_17559	msp_1141
ref_mOTU_v3_02513	msp_0228
meta_mOTU_v3_12429	msp_0251
meta_mOTU_v3_13594	msp_1732
meta_mOTU_v3_12232	msp_0304
meta_mOTU_v3_12342	msp_0064
ext_mOTU_v3_26483	msp_0675
ext_mOTU_v3_19569	msp_0437c
meta_mOTU_v3_13174	msp_0726
ext_mOTU_v3_17490	msp_1086
ref_mOTU_v3_02190	msp_0204:0.17639105616572767,msp_0242:0.8236089438342723
meta_mOTU_v3_14001	msp_1230
meta_mOTU_v3_12663	msp_0423
meta_mOTU_v3_13137	msp_0561
ref_mOTU_v3_03672	msp_0510
ref_mOTU_v3_03350	msp_1059c:0.41269841269841273,msp_1268:0.5873015873015873
ext_mOTU_v3_16336	msp_0331:0.7157851175669121,msp_0435:0.14402363043203104,msp_0640:0.006662904824819581,msp_0670:0.08278092654748714,msp_1238:0.009937961585710364,msp_1251:0.010916771629978214,msp_1378:0.0298926874130615
ref_mOTU_v3_07643	msp_1170
ref_mOTU_v3_07314	msp_0650:0.025690301253405608,msp_0769:0.9743096987465943
ref_mOTU_v3_03615	msp_1139
meta_mOTU_v3_12424	msp_0667
meta_mOTU_v3_12307	msp_0303:0.9971936364062993,msp_0317:0.0028063635937007666
ref_mOTU_v3_04069	msp_1196
meta_mOTU_v3_12974	msp_0729
meta_mOTU_v3_13969	msp_2014
ref_mOTU_v3_03687	msp_0621:0.8157767487827532,msp_0860:0.18422325121724684
ref_mOTU_v3_03641	msp_0131
ref_mOTU_v3_07590	msp_0569
ext_mOTU_v3_26603	msp_0893
ext_mOTU_v3_17504	msp_0007
ref_mOTU_v3_11977	msp_1034
ext_mOTU_v3_26734	msp_0467
meta_mOTU_v3_13348	msp_1368
meta_mOTU_v3_12361	msp_0164
ext_mOTU_v3_17634	msp_0389:0.05937183165585681,msp_0817:0.6444777724671328,msp_0953:0.03558017306399919,msp_1846:0.2605702228130113
ref_mOTU_v3_00900	msp_0832
meta_mOTU_v3_13567	msp_0540
meta_mOTU_v3_12913	msp_1065
ext_mOTU_v3_18093	msp_0461:0.17152312600485864,msp_0513:0.8284768739951414
meta_mOTU_v3_13154	msp_0636
ref_mOTU_v3_03605	msp_0133:0.47002182565155987,msp_0223:0.5299781743484401
ext_mOTU_v3_17943	msp_1450
ext_mOTU_v3_18052	msp_0040:0.34523564545964375,msp_0069:0.6547643545403563
ext_mOTU_v3_17380	msp_1629
ref_mOTU_v3_07657	msp_0824
meta_mOTU_v3_12614	msp_0049
meta_mOTU_v3_12613	msp_0455
meta_mOTU_v3_13298	msp_0131:0.038666944783887776,msp_0413:0.9613330552161121
ref_mOTU_v3_01239	msp_0333
ext_mOTU_v3_17887	msp_0518:0.9305616308320556,msp_0677c:0.013718261567246376,msp_1159:0.055720107600698
meta_mOTU_v3_12502	msp_1227c:0.8243573493015185,msp_1596:0.17564265069848156
ref_mOTU_v3_11860	msp_0318
ext_mOTU_v3_17850	msp_1634
ext_mOTU_v3_17681	msp_0166:0.6405089135759978,msp_0419:0.05526196511273912,msp_0878:0.01823640607695722,msp_0910:0.28599271523430597
meta_mOTU_v3_13042	msp_1546
ref_mOTU_v3_02436	msp_0714c
meta_mOTU_v3_13930	msp_0746
meta_mOTU_v3_13863	msp_0820
ext_mOTU_v3_16132	msp_1939
meta_mOTU_v3_12573	msp_0016:0.03513678942107563,msp_0101:0.9648632105789244
ref_mOTU_v3_03148	msp_0422
ext_mOTU_v3_18135	msp_0154
ref_mOTU_v3_11863	msp_0383
meta_mOTU_v3_12635	msp_0356
ref_mOTU_v3_07725	msp_1122
ext_mOTU_v3_16220	msp_0550
ext_mOTU_v3_16129	msp_0945
meta_mOTU_v3_13191	msp_1677:0.25633859053703334,msp_1866:0.7436614094629667
ext_mOTU_v3_17431	msp_1115
ref_mOTU_v3_11607	msp_0373
meta_mOTU_v3_12617	msp_0650
ext_mOTU_v3_17729	msp_0693
meta_mOTU_v3_13309	msp_1719
ext_mOTU_v3_18142	msp_0029:0.025041866059741586,msp_0042:0.052010490882204226,msp_0055:0.008033074730615089,msp_0075:0.8042965306801995,msp_0244:0.04260411330747603,msp_0345:0.06801392433976346
meta_mOTU_v3_13792	msp_0979
meta_mOTU_v3_12755	msp_0270
meta_mOTU_v3_12406	msp_0845
ref_mOTU_v3_07655	msp_1257
meta_mOTU_v3_14245	msp_0812
ref_mOTU_v3_03680	msp_0468
ext_mOTU_v3_26699	msp_0107:0.7324159607497412,msp_0259:0.26758403925025875
ext_mOTU_v3_16185	msp_0110:0.00780376405345356,msp_0253:0.9772532720807511,msp_1076:0.01494296386579526
ext_mOTU_v3_17906	msp_0518:0.9713643331780679,msp_0969:0.028635666821932124
ext_mOTU_v3_26330	msp_0124
ext_mOTU_v3_17870	msp_0197:0.39357567448670316,msp_0501:0.606424325513297
ext_mOTU_v3_26969	msp_1021:0.9891853583385225,msp_1062:0.01081464166147749
meta_mOTU_v3_13255	msp_0700
ref_mOTU_v3_03667	msp_0139
meta_mOTU_v3_12426	msp_0372
meta_mOTU_v3_13655	msp_0535
ref_mOTU_v3_07640	msp_0129
ext_mOTU_v3_17513	msp_0727
meta_mOTU_v3_12228	msp_0319
ref_mOTU_v3_01019	msp_1336
ext_mOTU_v3_26446	msp_0700
ref_mOTU_v3_04287	msp_1234
ext_mOTU_v3_16566	msp_1793
meta_mOTU_v3_14235	msp_0297
ext_mOTU_v3_16210	msp_0088
ext_mOTU_v3_18070	msp_0249
ext_mOTU_v3_17453	msp_1256
ext_mOTU_v3_16244	msp_0973
meta_mOTU_v3_13385	msp_0539
ref_mOTU_v3_03621	msp_0194
ext_mOTU_v3_16239	msp_0029
meta_mOTU_v3_12331	msp_0639
ref_mOTU_v3_01002	msp_0610
ext_mOTU_v3_26520	msp_0583
ext_mOTU_v3_26657	msp_0092:0.9230940841859953,msp_0654:0.07690591581400472
ref_mOTU_v3_00102	msp_1432
ext_mOTU_v3_26961	msp_1897
ext_mOTU_v3_24910	msp_0837
ref_mOTU_v3_03437	msp_0109:0.4248,msp_0193:0.5751999999999999
ext_mOTU_v3_17477	msp_0129:0.0027589274200017664,msp_0473c:0.3528918981765896,msp_1533:0.6443491744034087
ext_mOTU_v3_18168	msp_0124:0.013999216259157298,msp_0456:0.13195802118498112,msp_0953:0.007870610301731246,msp_1715:0.8461721522541302
meta_mOTU_v3_13157	msp_0669
ref_mOTU_v3_03689	msp_0246:0.4115006043861164,msp_0767:0.5884993956138836
meta_mOTU_v3_14454	msp_1373
meta_mOTU_v3_12643	msp_0190
ext_mOTU_v3_17894	msp_0045
ext_mOTU_v3_17428	msp_0930:0.09152124867116142,msp_1641:0.9084787513288385
ref_mOTU_v3_02318	msp_0134
meta_mOTU_v3_13428	msp_1413
meta_mOTU_v3_14425	msp_1173c
ext_mOTU_v3_18075	msp_1177
ref_mOTU_v3_07620	msp_0512:0.28582637517431314,msp_0818:0.7141736248256869
meta_mOTU_v3_13176	msp_0298
ext_mOTU_v3_16196	msp_0103:0.1267626888840704,msp_1700:0.8732373111159296
ext_mOTU_v3_17902	msp_0177:0.047061284250156876,msp_1698:0.9529387157498431
ext_mOTU_v3_26503	msp_0066:0.01919993536949984,msp_0175:0.001352254294124242,msp_0227:0.002385058245310956,msp_0346:0.07338895714743204,msp_0780:0.0691493065369678,msp_1236:0.834524488406665
meta_mOTU_v3_12329	msp_0160
meta_mOTU_v3_13757	msp_1203
ext_mOTU_v3_17316	msp_1323
ext_mOTU_v3_17430	msp_0042:0.10555549019566889,msp_0179:0.535085074348254,msp_0989:0.3593594354560771
meta_mOTU_v3_12629	msp_0835
ref_mOTU_v3_03280	msp_1063c
ext_mOTU_v3_28746	msp_0007
meta_mOTU_v3_12394	msp_0288
ref_mOTU_v3_07605	msp_0294
meta_mOTU_v3_12306	msp_0039
ext_mOTU_v3_18019	msp_0461:0.539678436643747,msp_0762:0.4603215633562529
ext_mOTU_v3_26710	msp_0046
ref_mOTU_v3_07582	msp_0895
meta_mOTU_v3_12596	msp_0412
ref_mOTU_v3_02703	msp_0263
meta_mOTU_v3_12353	msp_0352
ref_mOTU_v3_03657	msp_0068
ref_mOTU_v3_09409	msp_0573
ext_mOTU_v3_17509	msp_0344
ref_mOTU_v3_00854	msp_0281
ext_mOTU_v3_26978	msp_1278
ext_mOTU_v3_17962	msp_0566
meta_mOTU_v3_14223	msp_1001
ref_mOTU_v3_07737	msp_0821
ref_mOTU_v3_10409	msp_0646
ref_mOTU_v3_11278	msp_0338
ext_mOTU_v3_19986	msp_0290:0.8055866479248575,msp_1189:0.1944133520751425
ext_mOTU_v3_26480	msp_0607
ref_mOTU_v3_03633	msp_0337
ext_mOTU_v3_28979	msp_0622
ref_mOTU_v3_02378	msp_0042
ext_mOTU_v3_17772	msp_1062:0.5267315818482454,msp_1143:0.4732684181517546
ext_mOTU_v3_17786	msp_0012:0.005458597087694136,msp_0027:0.004712833007699941,msp_0040:0.020693229137592545,msp_0062:0.011668978973305313,msp_0525:0.04013420134026384,msp_0611:0.017895867606452447,msp_2011:0.8994362928469918
ext_mOTU_v3_17713	msp_0629:0.7735191637630662,msp_0719:0.22648083623693382
meta_mOTU_v3_12571	msp_1252:0.49372413505023577,msp_1275:0.4612422840600887,msp_1398:0.04503358088967551
meta_mOTU_v3_12455	msp_0658
ext_mOTU_v3_16202	msp_0583
ext_mOTU_v3_17683	msp_0007:0.2115511524763895,msp_0021:0.7703527223356214,msp_0046:0.018096125187989257
meta_mOTU_v3_13944	msp_0662:0.021843593531656096,msp_0873:0.08686209180507298,msp_1121:0.09939946715855887,msp_1528:0.7918948475047121
ref_mOTU_v3_01001	msp_0610:0.39564310550939696,msp_1790:0.6043568944906031
ref_mOTU_v3_07687	msp_1221
ref_mOTU_v3_07729	msp_0205
meta_mOTU_v3_12764	msp_0881
meta_mOTU_v3_12340	msp_0077
ref_mOTU_v3_04702	msp_0671
ext_mOTU_v3_17605	msp_1218
meta_mOTU_v3_12519	msp_0564
meta_mOTU_v3_12324	msp_0454
ref_mOTU_v3_01605	msp_1477
ext_mOTU_v3_26190	msp_0156:0.09128958417624745,msp_0316:0.5614859396337276,msp_1814:0.34722447619002494
ref_mOTU_v3_07585	msp_1266
meta_mOTU_v3_12254	msp_0306
ext_mOTU_v3_15422	msp_0268
meta_mOTU_v3_13434	msp_1167
ref_mOTU_v3_07639	msp_0964
meta_mOTU_v3_13068	msp_0660
meta_mOTU_v3_12594	msp_1434
ref_mOTU_v3_03630	msp_1193
meta_mOTU_v3_12673	msp_1033
ref_mOTU_v3_05988	msp_0374
ext_mOTU_v3_17633	msp_0028:0.0034173962151993094,msp_0098:0.002761253821405333,msp_0156:0.174267161325986,msp_1814:0.8195541886374093
ref_mOTU_v3_01017	msp_0381
meta_mOTU_v3_13838	msp_0156
meta_mOTU_v3_12260	msp_0227
ext_mOTU_v3_17938	msp_1242
ext_mOTU_v3_17866	msp_0592:0.12820512820512822,msp_0622:0.8717948717948718
meta_mOTU_v3_13572	msp_0315
meta_mOTU_v3_13261	msp_0628
ref_mOTU_v3_06695	msp_0225
meta_mOTU_v3_14074	msp_1718
meta_mOTU_v3_13382	msp_1262
ext_mOTU_v3_28799	msp_0194:0.9267684906281617,msp_0375:0.07323150937183831
ext_mOTU_v3_17794	msp_0411
ext_mOTU_v3_17482	msp_1077:0.06058546943226879,msp_1124:0.9394145305677312
ref_mOTU_v3_03590	msp_0488
meta_mOTU_v3_13923	msp_0432
ref_mOTU_v3_02550	msp_0408
ref_mOTU_v3_02743	msp_0103
meta_mOTU_v3_13607	msp_1166
ref_mOTU_v3_04328	msp_0143:0.39742198100407056,msp_0359:0.6025780189959294
ext_mOTU_v3_26564	msp_0081
ref_mOTU_v3_03646	msp_0080
ext_mOTU_v3_17781	msp_1149
meta_mOTU_v3_13031	msp_0552
ext_mOTU_v3_15365	msp_1349
ext_mOTU_v3_16262	msp_0814
ext_mOTU_v3_17784	msp_1215:0.7182377504241131,msp_1361:0.03485545024587965,msp_1570:0.12718676253814595,msp_1600:0.0803177536287645,msp_1837:0.03940228316309686
ext_mOTU_v3_17435	msp_0504
ref_mOTU_v3_07641	msp_0499
meta_mOTU_v3_13629	msp_0784
meta_mOTU_v3_12639	msp_0549
meta_mOTU_v3_12706	msp_0234
meta_mOTU_v3_13686	msp_0728
meta_mOTU_v3_13855	msp_0790
ext_mOTU_v3_18067	msp_0192:0.035524366483697764,msp_0240:0.001871146884155034,msp_0331:0.06308266967564655,msp_0435:0.03667773568038054,msp_0640:0.01026156110412215,msp_0670:0.8269398485931698,msp_0791:0.0040398791378737624,msp_1238:0.00416010111811762,msp_1251:0.017442691322836747
meta_mOTU_v3_12950	msp_0300
ext_mOTU_v3_17510	msp_0089:0.2559496396932503,msp_0439:0.7440503603067498
meta_mOTU_v3_12776	msp_1302
meta_mOTU_v3_12855	msp_0682
meta_mOTU_v3_12667	msp_0932
ref_mOTU_v3_07613	msp_0463
ext_mOTU_v3_17667	msp_0584
ref_mOTU_v3_03649	msp_0074
ext_mOTU_v3_17886	msp_0566:0.9586414863836648,msp_1136:0.010566602780268558,msp_1238:0.030791910836066597
meta_mOTU_v3_12711	msp_0210
ext_mOTU_v3_17884	msp_0213:0.1615940588692107,msp_0276:0.5512257404513772,msp_1091:0.11118030661377565,msp_1484:0.034606503580253696,msp_1652:0.14139339048538266
ext_mOTU_v3_17664	msp_1009:0.9905283844285234,msp_1140:0.009471615571476598
ext_mOTU_v3_17422	msp_0541
ext_mOTU_v3_16224	msp_1529
ext_mOTU_v3_17539	msp_0804:0.004413503962720235,msp_1676:0.9955864960372797
ref_mOTU_v3_06306	msp_0999
ref_mOTU_v3_00310	msp_1599
ext_mOTU_v3_26622	msp_0039:0.8194137547791116,msp_0042:0.05698665531818193,msp_0179:0.007706130192263556,msp_0296:0.11589345971044283
meta_mOTU_v3_12919	msp_0920
ref_mOTU_v3_00572	msp_0983:0.4712655984003839,msp_1127:0.12559781579032478,msp_1341:0.1674829079152843,msp_1477:0.23565367789400704
ref_mOTU_v3_03623	msp_0906
ref_mOTU_v3_00304	msp_1543
ext_mOTU_v3_16223	msp_0500
ext_mOTU_v3_26646	msp_0166:0.290764115779571,msp_0419:0.002218446258301614,msp_0627:0.7070174379621275
meta_mOTU_v3_13847	msp_0699
meta_mOTU_v3_12253	msp_0312
ref_mOTU_v3_07648	msp_1243
meta_mOTU_v3_13740	msp_0782
ref_mOTU_v3_03664	msp_0239:0.4540682414698163,msp_0474:0.5459317585301837
meta_mOTU_v3_12587	msp_0716
ref_mOTU_v3_03928	msp_0364
meta_mOTU_v3_14275	msp_0401
ref_mOTU_v3_11004	msp_0963c
ext_mOTU_v3_26328	msp_0205:0.028815383065300834,msp_0484:0.13490476214393746,msp_0893:0.8362798547907617
ext_mOTU_v3_26676	msp_0035:0.10715262601437794,msp_0040:0.48027249178138265,msp_0069:0.3610921390725968,msp_0438:0.05148274313164247
ext_mOTU_v3_17654	msp_1379
ref_mOTU_v3_03702	msp_0017
ref_mOTU_v3_07654	msp_1204
meta_mOTU_v3_12707	msp_0142
ref_mOTU_v3_02809	msp_0008
ref_mOTU_v3_01837	msp_0574c
meta_mOTU_v3_12694	msp_0424
meta_mOTU_v3_13749	msp_0624
ref_mOTU_v3_03609	msp_0207
ref_mOTU_v3_00096	msp_0005:0.05109443371946562,msp_0626:0.6717326900247961,msp_1816:0.2771728762557382
ext_mOTU_v3_26600	msp_0285
ref_mOTU_v3_10689	msp_1114
meta_mOTU_v3_13187	msp_0874
meta_mOTU_v3_12761	msp_0533
ext_mOTU_v3_28774	msp_0090:0.6449582715032823,msp_0225:0.3550417284967177
meta_mOTU_v3_12491	msp_0492
meta_mOTU_v3_12301	msp_0291
ref_mOTU_v3_01577	msp_0031:0.26996684787048925,msp_0036:0.7300331521295107
ext_mOTU_v3_28927	msp_1143
ext_mOTU_v3_17645	msp_0055:0.5887716958001764,msp_0075:0.4112283041998235
meta_mOTU_v3_12983	msp_0462
ext_mOTU_v3_15444	msp_0396
meta_mOTU_v3_13340	msp_1821
ref_mOTU_v3_10448	msp_1229
ref_mOTU_v3_04102	msp_1081
ref_mOTU_v3_07728	msp_0509
ref_mOTU_v3_01004	msp_0610:0.2966589701504993,msp_1783:0.7033410298495006
ref_mOTU_v3_07610	msp_1368
ext_mOTU_v3_17518	msp_1079
ref_mOTU_v3_03599	msp_0175
ref_mOTU_v3_11153	msp_0262
meta_mOTU_v3_12835	msp_1548
ext_mOTU_v3_26501	msp_1172
meta_mOTU_v3_12940	msp_1027
ref_mOTU_v3_07720	msp_1214
ext_mOTU_v3_26697	msp_0168
ext_mOTU_v3_16187	msp_1415
meta_mOTU_v3_12300	msp_1328
ref_mOTU_v3_06112	msp_0388
ref_mOTU_v3_01591	msp_0146c:0.6099593743433339,msp_0602c:0.009952526606283846,msp_1543:0.115337493691262,msp_1599:0.26475060535912026
ext_mOTU_v3_17719	msp_0943
ext_mOTU_v3_26599	msp_0068
ext_mOTU_v3_17907	msp_0584
ext_mOTU_v3_17532	msp_0948
ext_mOTU_v3_26730	msp_0070:0.9379700573313783,msp_0270:0.0004939382306749665,msp_0605:0.061536004437946726
ext_mOTU_v3_17903	msp_1845
ref_mOTU_v3_11465	msp_1456c
meta_mOTU_v3_14250	msp_0017
ext_mOTU_v3_26367	msp_0029
meta_mOTU_v3_13888	msp_0897
ext_mOTU_v3_17503	msp_1062
ext_mOTU_v3_17385	msp_1856
ext_mOTU_v3_17843	msp_0003:0.0021534184532042127,msp_0008:0.031656516739073395,msp_0032:0.7020994300904281,msp_0089:0.012727427064909567,msp_0110:0.051732217407757415,msp_0196:0.19963099024462735
meta_mOTU_v3_14305	msp_0039
ext_mOTU_v3_26205	msp_0121:0.10130240316290869,msp_0306:0.7485227244329713,msp_0477:0.1501748724041201
ext_mOTU_v3_26658	msp_0247
ext_mOTU_v3_26304	msp_0881
ext_mOTU_v3_17851	msp_0794
ext_mOTU_v3_15388	msp_0058:0.03775583884537056,msp_1891:0.9622441611546294
ext_mOTU_v3_26373	msp_0175:0.8907241376613959,msp_0572:0.10927586233860405
ext_mOTU_v3_17427	msp_1641
ref_mOTU_v3_03698	msp_0026:0.550710842050553,msp_0097:0.44928915794944707
ref_mOTU_v3_00569	msp_1127
ext_mOTU_v3_28734	msp_0877
ext_mOTU_v3_17413	msp_0635
ref_mOTU_v3_01953	msp_0739c
ext_mOTU_v3_26696	msp_0138:0.018069288119411147,msp_0166:0.32314083183883735,msp_0263:0.6587898800417515
ext_mOTU_v3_17918	msp_1546
meta_mOTU_v3_13609	msp_0982
meta_mOTU_v3_12377	msp_0995
ref_mOTU_v3_02744	msp_0278
ref_mOTU_v3_02140	msp_0037
ext_mOTU_v3_26359	msp_0106
meta_mOTU_v3_13184	msp_0311
meta_mOTU_v3_14091	msp_1841
meta_mOTU_v3_13437	msp_0798
meta_mOTU_v3_14434	msp_0410
meta_mOTU_v3_12369	msp_1498
ref_mOTU_v3_01606	msp_0792
ref_mOTU_v3_03606	msp_0697:0.3030796320004278,msp_0760:0.6969203679995721
ext_mOTU_v3_29509	msp_0015
ext_mOTU_v3_17307	msp_1472c
ext_mOTU_v3_17730	msp_0067
meta_mOTU_v3_13519	msp_1408
meta_mOTU_v3_14315	msp_0652
ref_mOTU_v3_01014	msp_0089:0.020976694055974833,msp_0196:0.9790233059440251
meta_mOTU_v3_12873	msp_0107:0.00387352297758251,msp_0554:0.9961264770224174
meta_mOTU_v3_12285	msp_0106
ext_mOTU_v3_17519	msp_1760
meta_mOTU_v3_13887	msp_1988
ref_mOTU_v3_07594	msp_1107
ext_mOTU_v3_26253	msp_0567
ext_mOTU_v3_17698	msp_0619
ext_mOTU_v3_16254	msp_0575
ref_mOTU_v3_03692	msp_0307
ref_mOTU_v3_01938	msp_0313
meta_mOTU_v3_13274	msp_1105
ref_mOTU_v3_06538	msp_0942:0.0032526522315831055,msp_1009:0.9967473477684169
ext_mOTU_v3_15409	msp_1308
meta_mOTU_v3_13029	msp_0992
ref_mOTU_v3_07690	msp_0143
meta_mOTU_v3_13237	msp_0991
ext_mOTU_v3_17416	msp_0827
ext_mOTU_v3_26470	msp_0641
ext_mOTU_v3_29973	msp_1393
meta_mOTU_v3_12265	msp_0654
meta_mOTU_v3_13370	msp_0809
meta_mOTU_v3_12386	msp_0393
ext_mOTU_v3_16443	msp_1181:0.07985787092436204,msp_1612:0.920142129075638
ext_mOTU_v3_17763	msp_0266:0.16581487791027824,msp_0289:0.8341851220897217
ext_mOTU_v3_18141	msp_0196:0.2986222732491389,msp_0225:0.7013777267508611
meta_mOTU_v3_12486	msp_0703
ref_mOTU_v3_04445	msp_0878
ext_mOTU_v3_26391	msp_0028:0.8328838942872558,msp_0083:0.15838417549191897,msp_1814:0.008731930220825142
ext_mOTU_v3_17773	msp_0942:0.005507796772392268,msp_1009:0.002645232722704742,msp_1472c:0.9918469705049031
meta_mOTU_v3_12348	msp_0856
ext_mOTU_v3_17373	msp_0136:0.17672159518175548,msp_0880:0.7262780797673896,msp_1839:0.09700032505085499
ref_mOTU_v3_03592	msp_0070
ref_mOTU_v3_03441	msp_0200
meta_mOTU_v3_14391	msp_0937
meta_mOTU_v3_13392	msp_0740
meta_mOTU_v3_13970	msp_1502
ext_mOTU_v3_17324	msp_1340
ext_mOTU_v3_26331	msp_0126:0.013542129660043688,msp_1114:0.9864578703399564
ext_mOTU_v3_17315	msp_0478:0.005768829534799269,msp_1323:0.9942311704652007
meta_mOTU_v3_14000	msp_0491
ext_mOTU_v3_17618	msp_0046
