metaphlan	clade	msp
SGB5181	t__SGB5181	msp_1402
SGB1833	t__SGB1833	msp_0219
SGB6177	t__SGB6177	msp_1479
SGB4995	t__SGB4995	msp_1149
SGB6518	t__SGB6518	msp_1112
SGB2301	t__SGB2301	msp_0089
SGB4372	t__SGB4372	msp_0708
SGB17347	t__SGB17347	msp_1001
SGB4036	t__SGB4036	msp_0278
SGB6417	t__SGB6417	msp_1214
SGB14208	t__SGB14208	msp_0540
SGB4141	t__SGB4141	msp_0683
SGB14999	t__SGB14999	msp_1173c
SGB14995	t__SGB14995	msp_1381
SGB15191	t__SGB15191	msp_0513
SGB13979	t__SGB13979	msp_0804
SGB5822	t__SGB5822	msp_0834
SGB9272	t__SGB9272	msp_0239
SGB6183	t__SGB6183	msp_1046
SGB4198	t__SGB4198	msp_0053
SGB6388	t__SGB6388	msp_1203
SGB12676	t__SGB12676	msp_1205
SGB2181	t__SGB2181	msp_2134
SGB15097	t__SGB15097	msp_0605
SGB1810	t__SGB1810	msp_0438
SGB13957	t__SGB13957	msp_1295
SGB6179	t__SGB6179	msp_0454
SGB14847	t__SGB14847	msp_1637
SGB4393	t__SGB4393	msp_0904
SGB54320	t__SGB54320	msp_1709
SGB1690	t__SGB1690	msp_0894
SGB6606	t__SGB6606	msp_1225:0.42516054987714863,msp_1258:0.5748394501228513
SGB6489	t__SGB6489	msp_1597
SGB4175	t__SGB4175	msp_0921
SGB1953	t__SGB1953	msp_0870
SGB6476	t__SGB6476	msp_1414
SGB7082	t__SGB7082	msp_0712
SGB6601	t__SGB6601	msp_0955
SGB14297	t__SGB14297	msp_1332
SGB7097	t__SGB7097	msp_1220
SGB2173	t__SGB2173	msp_0628
SGB6011	t__SGB6011	msp_0610
SGB14227	t__SGB14227	msp_0790
SGB1664	t__SGB1664	msp_1014
SGB4181	t__SGB4181	msp_0210
SGB4269	t__SGB4269	msp_0468
SGB5050	t__SGB5050	msp_0892
SGB2296	t__SGB2296	msp_0381
SGB15290	t__SGB15290	msp_1715
SGB7984	t__SGB7984	msp_1410
SGB15075	t__SGB15075	msp_0423
SGB14270	t__SGB14270	msp_0912
SGB6463	t__SGB6463	msp_1303
SGB14005	t__SGB14005	msp_0730
SGB5062	t__SGB5062	msp_0077
SGB6383	t__SGB6383	msp_1257
SGB7985	t__SGB7985	msp_0486
SGB6310	t__SGB6310	msp_1005
SGB6473	t__SGB6473	msp_0818
SGB15244	t__SGB15244	msp_0452
SGB4312	t__SGB4312	msp_0762
SGB15251	t__SGB15251	msp_1105
SGB5684	t__SGB5684	msp_1187
SGB6346	t__SGB6346	msp_1037
SGB14892	t__SGB14892	msp_0410
SGB2304	t__SGB2304	msp_0537
SGB4243	t__SGB4243	msp_0420
SGB1596	t__SGB1596	msp_1350
SGB1701	t__SGB1701	msp_1263c
SGB4046	t__SGB4046	msp_1556
SGB4434	t__SGB4434	msp_1708
SGB15374	t__SGB15374	msp_0592
SGB9207	t__SGB9207	msp_0248
SGB6327	t__SGB6327	msp_2063
SGB4774	t__SGB4774	msp_0814
SGB4729	t__SGB4729	msp_1698
SGB14136	t__SGB14136	msp_0703
SGB4638	t__SGB4638	msp_0688
SGB5089	t__SGB5089	msp_0048
SGB14116	t__SGB14116	msp_1924
SGB4546	t__SGB4546	msp_0674
SGB6343	t__SGB6343	msp_1109
SGB14832	t__SGB14832	msp_1669
SGB4921	t__SGB4921	msp_0441
SGB6816	t__SGB6816	msp_0981
SGB14980	t__SGB14980	msp_0450
SGB3952	t__SGB3952	msp_0665
SGB4874	t__SGB4874	msp_0154
SGB4761	t__SGB4761	msp_0713
SGB15410	t__SGB15410	msp_0424
SGB15315	t__SGB15315	msp_0639
SGB15070	t__SGB15070	msp_1588
SGB4959	t__SGB4959	msp_0299
SGB13950	t__SGB13950	msp_1286
SGB4741	t__SGB4741	msp_0044
SGB1663	t__SGB1663	msp_0549
SGB6617	t__SGB6617	msp_1330
SGB14180	t__SGB14180	msp_1545
SGB14264	t__SGB14264	msp_0771
SGB7951	t__SGB7951	msp_1489c
SGB4791	t__SGB4791	msp_0182
SGB5043	t__SGB5043	msp_0378
SGB1408	t__SGB1408	msp_0547
SGB65958	t__SGB65958	msp_1478
SGB14965	t__SGB14965	msp_0297
SGB8601	t__SGB8601	msp_0130
SGB4152	t__SGB4152	msp_1775
SGB6767	t__SGB6767	msp_0877
SGB2212	t__SGB2212	msp_1273
SGB5072	t__SGB5072	msp_0496
SGB14306	t__SGB14306	msp_0144
SGB1710	t__SGB1710	msp_0598
SGB4948	t__SGB4948	msp_0539
SGB6170	t__SGB6170	msp_0329
SGB10114	t__SGB10114	msp_0241
SGB8772	t__SGB8772	msp_1690
SGB9197	t__SGB9197	msp_0120
SGB6653	t__SGB6653	msp_1234
SGB4271	t__SGB4271	msp_1335
SGB6705	t__SGB6705	msp_1057c
SGB4652	t__SGB4652	msp_0194
SGB15322	t__SGB15322	msp_0399
SGB15124	t__SGB15124	msp_0861
SGB6465	t__SGB6465	msp_1043
SGB1897	t__SGB1897	msp_0377
SGB1589	t__SGB1589	msp_0789
SGB8022	t__SGB8022	msp_1341
SGB15121	t__SGB15121	msp_0425
SGB4328	t__SGB4328	msp_0709
SGB58382	t__SGB58382	msp_2101
SGB15109	t__SGB15109	msp_1626
SGB9287	t__SGB9287	msp_1419
SGB2326	t__SGB2326	msp_0324
SGB10086	t__SGB10086	msp_1816
SGB4153	t__SGB4153	msp_1061c
SGB4247	t__SGB4247	msp_0127
SGB4643	t__SGB4643	msp_0463
SGB9340	t__SGB9340	msp_0220
SGB15081	t__SGB15081	msp_0874
SGB14991	t__SGB14991	msp_0650
SGB2311	t__SGB2311	msp_0335
SGB14253	t__SGB14253	msp_0679
SGB6392	t__SGB6392	msp_1103
SGB713	t__SGB713	msp_0924
SGB15390	t__SGB15390	msp_0314
SGB1983	t__SGB1983	msp_1215
SGB4950	t__SGB4950	msp_0094
SGB14894	t__SGB14894	msp_1356
SGB14397	t__SGB14397	msp_0970
SGB8637	t__SGB8637	msp_0909
SGB4702	t__SGB4702	msp_1183
SGB4616	t__SGB4616	msp_1948
SGB6407	t__SGB6407	msp_1354
SGB4672	t__SGB4672	msp_0550
SGB17278	t__SGB17278	msp_0916
SGB13948	t__SGB13948	msp_1542
SGB14143	t__SGB14143	msp_1397c
SGB4712	t__SGB4712	msp_0780
SGB14937	t__SGB14937	msp_0249
SGB1626	t__SGB1626	msp_0041
SGB6403	t__SGB6403	msp_1297
SGB14203	t__SGB14203	msp_1509
SGB14296	t__SGB14296	msp_1239
SGB15209	t__SGB15209	msp_0759
SGB4632	t__SGB4632	msp_1525
SGB4715	t__SGB4715	msp_1622
SGB14311	t__SGB14311	msp_0398
SGB1957	t__SGB1957	msp_0412
SGB9271	t__SGB9271	msp_0474
SGB15316	t__SGB15316	msp_0388
SGB2184	t__SGB2184	msp_1827
SGB1675	t__SGB1675	msp_0980
SGB5825_group	t__SGB5825_group	msp_0212
SGB47656	t__SGB47656	msp_1353
SGB6750	t__SGB6750	msp_0623
SGB15143	t__SGB15143	msp_0977
SGB17231	t__SGB17231	msp_1155
SGB14784	t__SGB14784	msp_0677c
SGB6510	t__SGB6510	msp_1066
SGB4810	t__SGB4810	msp_0189
SGB4577	t__SGB4577	msp_0259
SGB10207	t__SGB10207	msp_1331
SGB8047_group	t__SGB8047_group	msp_0146c
SGB3969	t__SGB3969	msp_0737
SGB2321	t__SGB2321	msp_0636
SGB15101	t__SGB15101	msp_0876
SGB14048	t__SGB14048	msp_1592
SGB2092	t__SGB2092	msp_0857
SGB3991	t__SGB3991	msp_0707
SGB8648	t__SGB8648	msp_1023
SGB1867	t__SGB1867	msp_0021
SGB1667	t__SGB1667	msp_0599
SGB4260	t__SGB4260	msp_0481
SGB4447	t__SGB4447	msp_0431
SGB5722	t__SGB5722	msp_1167
SGB10028	t__SGB10028	msp_0100
SGB4720	t__SGB4720	msp_1305
SGB13999	t__SGB13999	msp_1266
SGB15229	t__SGB15229	msp_1021
SGB9198	t__SGB9198	msp_0516
SGB4771	t__SGB4771	msp_1533
SGB15447	t__SGB15447	msp_0369
SGB15256	t__SGB15256	msp_0841
SGB7931	t__SGB7931	msp_1697
SGB14367	t__SGB14367	msp_0969
SGB15460	t__SGB15460	msp_0226
SGB4826	t__SGB4826	msp_0141
SGB3957	t__SGB3957	msp_1291
SGB14951	t__SGB14951	msp_1621
SGB6262	t__SGB6262	msp_1179
SGB14891	t__SGB14891	msp_1461
SGB14011	t__SGB14011	msp_1115
SGB3977	t__SGB3977	msp_1259c
SGB14243	t__SGB14243	msp_0686
SGB9301	t__SGB9301	msp_0741
SGB15102	t__SGB15102	msp_1016
SGB2325	t__SGB2325	msp_0318
SGB4890	t__SGB4890	msp_1124
SGB17264	t__SGB17264	msp_0878
SGB5750	t__SGB5750	msp_1844
SGB6313	t__SGB6313	msp_1206
SGB14895	t__SGB14895	msp_0370
SGB4617	t__SGB4617	msp_0274
SGB4701	t__SGB4701	msp_0308
SGB6497	t__SGB6497	msp_1733
SGB3940	t__SGB3940	msp_0776
SGB1823	t__SGB1823	msp_1278
SGB2290	t__SGB2290	msp_0225
SGB4893	t__SGB4893	msp_0373
SGB15313	t__SGB15313	msp_0690
SGB4965	t__SGB4965	msp_0321
SGB13990	t__SGB13990	msp_1218
SGB6531	t__SGB6531	msp_1212
SGB5115	t__SGB5115	msp_0668
SGB6956	t__SGB6956	msp_1219
SGB4158	t__SGB4158	msp_0644
SGB3992	t__SGB3992	msp_0472
SGB5054	t__SGB5054	msp_1662
SGB4581	t__SGB4581	msp_0307
SGB4938	t__SGB4938	msp_0057
SGB9343	t__SGB9343	msp_0788
SGB4786	t__SGB4786	msp_0113
SGB6486	t__SGB6486	msp_1027
SGB14905	t__SGB14905	msp_1664
SGB14248	t__SGB14248	msp_0447
SGB15249	t__SGB15249	msp_0777
SGB4365	t__SGB4365	msp_0322
SGB8640	t__SGB8640	msp_0819
SGB4758	t__SGB4758	msp_0009
SGB8005	t__SGB8005	msp_1810
SGB4759	t__SGB4759	msp_0135
SGB10119	t__SGB10119	msp_0633
SGB4301	t__SGB4301	msp_1271
SGB1940	t__SGB1940	msp_0156
SGB15353	t__SGB15353	msp_0900
SGB15461	t__SGB15461	msp_1639
SGB4425_group	t__SGB4425_group	msp_0178
SGB5104	t__SGB5104	msp_0499
SGB8021	t__SGB8021	msp_0983
SGB9344	t__SGB9344	msp_0795
SGB2131	t__SGB2131	msp_0880
SGB1704	t__SGB1704	msp_1981
SGB5111	t__SGB5111	msp_0039
SGB14958	t__SGB14958	msp_1609c
SGB1423	t__SGB1423	msp_0681
SGB1858	t__SGB1858	msp_0054
SGB9333	t__SGB9333	msp_0183
SGB14017	t__SGB14017	msp_1086
SGB15212	t__SGB15212	msp_1098
SGB5870	t__SGB5870	msp_1034
SGB1949	t__SGB1949	msp_0027
SGB9153	t__SGB9153	msp_0990
SGB2229	t__SGB2229	msp_1474
SGB2318	t__SGB2318	msp_0090
SGB8599	t__SGB8599	msp_0455
SGB14881	t__SGB14881	msp_1780c
SGB7088_group	t__SGB7088_group	msp_0408
SGB4588	t__SGB4588	msp_0246
SGB15218	t__SGB15218	msp_1550
SGB5801	t__SGB5801	msp_1065
SGB15452	t__SGB15452	msp_0110
SGB14803	t__SGB14803	msp_0638
SGB1853	t__SGB1853	msp_0033
SGB6847	t__SGB6847	msp_1308
SGB15072	t__SGB15072	msp_0391
SGB15398	t__SGB15398	msp_0354
SGB6449	t__SGB6449	msp_1455
SGB4655	t__SGB4655	msp_0247
SGB1934	t__SGB1934	msp_0012
SGB5967	t__SGB5967	msp_0395
SGB9226	t__SGB9226	msp_0025
SGB14301	t__SGB14301	msp_0859
SGB5858	t__SGB5858	msp_0197
SGB15159	t__SGB15159	msp_0342
SGB14042	t__SGB14042	msp_0728
SGB1889	t__SGB1889	msp_1229
SGB4894	t__SGB4894	msp_0060
SGB4669	t__SGB4669	msp_0945
SGB5862	t__SGB5862	msp_0501
SGB6513	t__SGB6513	msp_1110
SGB6538	t__SGB6538	msp_1450
SGB19351_group	t__SGB19351_group	msp_0844c
SGB8770	t__SGB8770	msp_1182
SGB1824	t__SGB1824	msp_0211
SGB1948	t__SGB1948	msp_0083
SGB6526	t__SGB6526	msp_1160
SGB2237	t__SGB2237	msp_0987
SGB8028_group	t__SGB8028_group	msp_1127
SGB4760	t__SGB4760	msp_0020
SGB14177	t__SGB14177	msp_0619
SGB15015	t__SGB15015	msp_0597
SGB6450	t__SGB6450	msp_1417
SGB14151	t__SGB14151	msp_0372
SGB1821	t__SGB1821	msp_0217
SGB4859	t__SGB4859	msp_0933
SGB15022	t__SGB15022	msp_0643
SGB15156	t__SGB15156	msp_0545
SGB4552	t__SGB4552	msp_0655
SGB27424	t__SGB27424	msp_1824
SGB2328	t__SGB2328	msp_0287
SGB15198	t__SGB15198	msp_0319
SGB5065	t__SGB5065	msp_0206
SGB4749	t__SGB4749	msp_0079
SGB9242	t__SGB9242	msp_1116
SGB6570	t__SGB6570	msp_1008
SGB1855	t__SGB1855	msp_0010
SGB25497	t__SGB25497	msp_0558
SGB15394	t__SGB15394	msp_0348
SGB2025	t__SGB2025	msp_1242
SGB1796	t__SGB1796	msp_0495
SGB6370	t__SGB6370	msp_1069
SGB15036	t__SGB15036	msp_1707
SGB6285	t__SGB6285	msp_1260
SGB15275	t__SGB15275	msp_1548
SGB5200	t__SGB5200	msp_1541
SGB14260	t__SGB14260	msp_1248
SGB4987	t__SGB4987	msp_0018
SGB1668	t__SGB1668	msp_0257
SGB15090	t__SGB15090	msp_0352
SGB4721	t__SGB4721	msp_0129
SGB4831	t__SGB4831	msp_1643c
SGB4963	t__SGB4963	msp_0885
SGB15239	t__SGB15239	msp_0453
SGB4747	t__SGB4747	msp_0233
SGB4829	t__SGB4829	msp_1038
SGB15295	t__SGB15295	msp_0418
SGB14124	t__SGB14124	msp_1538
SGB4961	t__SGB4961	msp_0440
SGB6747	t__SGB6747	msp_0883
SGB4037	t__SGB4037	msp_0103
