Simulation	Sample	Richness
refMet4	SAMEA3136634	276
refMet4	SAMEA3136635	87
refMet4	SAMEA3136636	83
refMet4	SAMEA3136637	176
refMet4	SAMEA3136638	189
refMet4	SAMEA3136639	89
refMet4	SAMEA3136640	150
refMet4	SAMEA3136641	252
refMet4	SAMEA3136642	313
refMet4	SAMEA3136643	125
refMet4	SAMEA3136644	324
refMet4	SAMEA3136645	254
refMet4	SAMEA3136646	158
refMet4	SAMEA3136648	229
refMet4	SAMEA3136649	49
refMet4	SAMEA3136650	88
refMet4	SAMEA3136651	206
refMet4	SAMEA3136652	226
refMet4	SAMEA3136653	167
refMet4	SAMEA3136654	274
refMet4	SAMEA3136655	112
refMet4	SAMEA3136656	156
refMet4	SAMEA3136657	102
refMet4	SAMEA3136658	336
refMet4	SAMEA3136659	248
refMet4	SAMEA3136660	114
refMet4	SAMEA3136661	82
refMet4	SAMEA3136662	134
refMet4	SAMEA3136663	172
refMet4	SAMEA3136664	169
refMet4	SAMEA3136665	108
refMet4	SAMEA3136666	204
refMet4	SAMEA3136667	245
refMet4	SAMEA3136668	104
refMet4	SAMEA3136669	182
refMet4	SAMEA3136670	201
refMet4	SAMEA3136671	219
refMet4	SAMEA3136672	192
refMet4	SAMEA3136673	173
refMet4	SAMEA3136674	127
refMet4	SAMEA3136675	287
refMet4	SAMEA3136676	290
refMet4	SAMEA3136677	48
refMet4	SAMEA3136678	200
refMet4	SAMEA3136679	100
refMet4	SAMEA3136680	263
refMet4	SAMEA3136681	37
refMet4	SAMEA3136682	165
refMet4	SAMEA3136683	240
refMet4	SAMEA3136684	304
refMet4	SAMEA3136685	240
refMet4	SAMEA3136686	115
refMet4	SAMEA3136687	126
refMet4	SAMEA3136688	216
refMet4	SAMEA3136689	273
refMet4	SAMEA3136690	46
refMet4	SAMEA3136691	141
refMet4	SAMEA3136692	96
refMet4	SAMEA3136693	122
refMet4	SAMEA3136694	256
refMet4	SAMEA3136695	257
refMet4	SAMEA3136696	263
refMet4	SAMEA3136697	190
refMet4	SAMEA3136698	310
refMet4	SAMEA3136699	334
refMet4	SAMEA3136700	325
refMet4	SAMEA3136701	207
refMet4	SAMEA3136702	55
refMet4	SAMEA3136703	208
refMet4	SAMEA3136704	183
refMet4	SAMEA3136705	252
refMet4	SAMEA3136706	154
refMet4	SAMEA3136707	267
refMet4	SAMEA3136708	85
refMet4	SAMEA3136709	241
refMet4	SAMEA3136710	64
refMet4	SAMEA3136711	103
refMet4	SAMEA3136712	100
refMet4	SAMEA3136713	279
refMet4	SAMEA3136714	148
refMet4	SAMEA3136715	175
refMet4	SAMEA3136716	235
refMet4	SAMEA3136717	187
refMet4	SAMEA3136718	329
refMet4	SAMEA3136719	181
refMet4	SAMEA3136720	100
refMet4	SAMEA3136721	251
refMet4	SAMEA3136722	96
refMet4	SAMEA3136723	265
refMet4	SAMEA3136724	149
refMet4	SAMEA3136725	283
refMet4	SAMEA3136726	316
refMet4	SAMEA3136727	293
refMet4	SAMEA3136728	255
refMet4	SAMEA3136729	314
refMet4	SAMEA3136730	151
refMet4	SAMEA3136731	225
refMet4	SAMEA3136732	254
refMet4	SAMEA3136733	161
refMet4	SAMEA3136734	356
refMet4	SAMEA3136735	151
refMet4	SAMEA3136736	178
refMet4	SAMEA3136737	162
refMet4	SAMEA3136738	339
refMet4	SAMEA3136739	196
refMet4	SAMEA3136740	238
refMet4	SAMEA3136741	236
refMet4	SAMEA3136742	195
refMet4	SAMEA3136743	313
refMet4	SAMEA3136744	146
refMet4	SAMEA3136745	174
refMet4	SAMEA3136746	325
refMet4	SAMEA3136747	148
refMet4	SAMEA3136748	145
refMet4	SAMEA3136749	235
refMet4	SAMEA3136750	119
refMet4	SAMEA3136751	305
refMet4	SAMEA3136752	291
refMet4	SAMEA3136753	240
refMet4	SAMEA3136754	270
refMet4	SAMEA3136755	291
refMet4	SAMEA3136756	264
refMet4	SAMEA3136757	285
refMet4	SAMEA3136758	86
refMet4	SAMEA3136759	314
refMet4	SAMEA3136760	294
refMet4	SAMEA3136761	212
refMet4	SAMEA3136762	185
refMet4	SAMEA3136763	213
refMet4	SAMEA3136764	172
refMet4	SAMEA3136765	173
refMet4	SAMEA3136766	165
refMet4	SAMEA3136767	250
refMet4	SAMEA3136768	105
refMet4	SAMEA3136769	107
refMet4	SAMEA3178936	114
refMet4	SAMEA3178937	276
refMet4	SAMEA3178938	229
refMet4	SAMEA3178939	243
refMet4	SAMEA3178940	110
refMet4	SAMEA3178941	190
refMet4	SAMEA3178942	152
refMet4	SAMEA3178943	322
refMet4	SAMEA3178944	236
refKrak	SAMEA2466922	341
refKrak	SAMEA3136635	320
refKrak	SAMEA2467056	522
refKrak	SAMEA3136711	328
refKrak	SAMEA3136712	370
refKrak	SAMEA2467068	494
refKrak	SAMEA2467065	597
refKrak	SAMEA3136680	554
refKrak	SAMEA3136708	289
refKrak	SAMEA2467032	299
refKrak	SAMEA2467085	735
refKrak	SAMEA2466902	512
refKrak	SAMEA3178939	444
refKrak	SAMEA2467021	597
refKrak	SAMEA2467070	519
refKrak	SAMEA2467057	441
refKrak	SAMEA3136623	298
refKrak	SAMEA2467034	585
refKrak	SAMEA3136683	563
refKrak	SAMEA3136734	524
refKrak	SAMEA2467059	439
refKrak	SAMEA3136760	621
refKrak	SAMEA2467010	346
refKrak	SAMEA2467072	709
refKrak	SAMEA3136727	676
refKrak	SAMEA2467066	618
refKrak	SAMEA3136747	357
refKrak	SAMEA3136756	534
refKrak	SAMEA2467077	610
refKrak	SAMEA2466917	248
refKrak	SAMEA2467054	648
refKrak	SAMEA3136749	520
refKrak	SAMEA2467013	643
refKrak	SAMEA2466932	825
refKrak	SAMEA3136741	559
refKrak	SAMEA3136628	346
refKrak	SAMEA3136662	360
refKrak	SAMEA3136731	549
refKrak	SAMEA3136722	247
refKrak	SAMEA2467082	485
refKrak	SAMEA2466918	542
refKrak	SAMEA3136638	503
