		kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	TP	233.0	112.0	210.0	217.0
SAMEA2466887	FN	26.0	147.0	49.0	42.0
SAMEA2466887	FP	300.0	10.0	27.0	13.0
SAMEA2466887	TN	3842.0	4132.0	4115.0	4129.0
SAMEA2466887	TPR	0.8996138995791655	0.4324324324157362	0.8108108107795053	0.8378378378054888
SAMEA2466887	FPR	0.07242877836776333	0.0024142926122587777	0.0065185900530987	0.003138580395936411
SAMEA2466887	TNR	0.9275712216298224	0.9975857073853269	0.9934814099444871	0.9968614196016493
SAMEA2466887	FNR	0.10038610038222447	0.5675675675456537	0.18918918918188457	0.16216216215590107
SAMEA2466887	PPV	0.43714821762782086	0.9180327868099973	0.8860759493297015	0.9434782608285444
SAMEA2466887	NPV	0.9932781799353845	0.9656461790115316	0.9882324687776459	0.9899304723064255
SAMEA2466887	FDR	0.5628517823534174	0.08196721310803548	0.11392405062810447	0.05652173912797731
SAMEA2466887	FOR	0.006721820062030192	0.03435382098613145	0.011767531219952528	0.01006952769117701
SAMEA2466887	P_T	0.12110883890024994	0.02772097250624858	0.05385139740967962	0.052260849806862075
SAMEA2466887	P_F	0.8788911610997501	0.9722790274937514	0.9461486025903204	0.9477391501931379
SAMEA2466887	FPRA	0.14362194996395225	0.0020073002007300017	0.024775327034810175	0.09381674690837297
SAMEA2466887	FNRA	0.0017205332166835906	0.3249051769631983	0.013683502036873683	0.09213272427120262
SAMEA2466887	F1	0.5883838383764093	0.5879265091709206	0.846774193531315	0.8875255623540383
SAMEA2466887	ACC	0.9259259259238221	0.9643262894774726	0.9827311974528908	0.9875028402613326
SAMEA2466887	Dice	0.4116161616161616	0.4120734908136483	0.1532258064516129	0.11247443762781185
SAMEA2466888	TP	200.0	83.0	178.0	182.0
SAMEA2466888	FN	13.0	130.0	35.0	31.0
SAMEA2466888	FP	328.0	7.0	15.0	6.0
SAMEA2466888	TN	3860.0	4181.0	4173.0	4182.0
SAMEA2466888	TPR	0.9389671361061518	0.38967136148405296	0.835680751134475	0.854460093856598
SAMEA2466888	FPR	0.07831900668558185	0.0016714422158508324	0.0035816618911089265	0.0014326647564435705
SAMEA2466888	TNR	0.9216809933120303	0.9983285577817614	0.9964183381065034	0.9985673352411687
SAMEA2466888	FNR	0.06103286384689986	0.6103286384689987	0.16431924881857657	0.1455399060964535
SAMEA2466888	PPV	0.37878787878070475	0.9222222221197531	0.9222797926983274	0.9680851063314848
SAMEA2466888	NPV	0.9966434288639384	0.9698445836210395	0.9916825095033468	0.9926418229266731
SAMEA2466888	FDR	0.6212121212003558	0.0777777777691358	0.07772020724985905	0.031914893615323674
SAMEA2466888	FOR	0.0033565711334795855	0.030155416376640792	0.008317490494276812	0.007358177070953339
SAMEA2466888	P_T	0.11997273346966598	0.02044989775051125	0.04385366962054078	0.04271756418995683
SAMEA2466888	P_F	0.880027266530334	0.9795501022494888	0.9561463303794592	0.9572824358100431
SAMEA2466888	FPRA	0.16923554360192838	0.0483480999999996	0.05236694885866401	0.033138109941432695
SAMEA2466888	FNRA	0.0008585818758225706	0.48096856023348444	0.06317632298735497	0.03513481681447052
SAMEA2466888	F1	0.5398110661195707	0.5478547854604668	0.8768472906187968	0.9077306732940715
SAMEA2466888	ACC	0.922517609632078	0.9688707111997981	0.988638945691914	0.9915928198114257
SAMEA2466888	Dice	0.4601889338731444	0.4521452145214521	0.12315270935960591	0.09226932668329177
SAMEA2466889	TP	254.0	95.0	233.0	232.0
SAMEA2466889	FN	46.0	205.0	67.0	68.0
SAMEA2466889	FP	332.0	10.0	34.0	11.0
SAMEA2466889	TN	3769.0	4091.0	4067.0	4090.0
SAMEA2466889	TPR	0.8466666666384445	0.3166666666561111	0.7766666666407778	0.7733333333075555
SAMEA2466889	FPR	0.08095586442311399	0.002438429651298614	0.008290660814415287	0.0026822726164284754
SAMEA2466889	TNR	0.9190441355744476	0.997561570346263	0.9917093391831463	0.9973177273811331
SAMEA2466889	FNR	0.15333333332822222	0.6833333333105556	0.2233333333258889	0.22666666665911112
SAMEA2466889	PPV	0.4334470989687125	0.904761904675737	0.8726591759972786	0.9547325102487764
SAMEA2466889	NPV	0.9879423328938718	0.9522811918041149	0.9837929366207455	0.983645983643618
SAMEA2466889	FDR	0.5665529010142226	0.09523809522902495	0.12734082396526814	0.045267489710071294
SAMEA2466889	FOR	0.012057667103507058	0.04771880819355745	0.016207063376835494	0.016354016353977024
SAMEA2466889	P_T	0.1331515564644399	0.023858214042263123	0.06066802999318337	0.05521472392638037
SAMEA2466889	P_F	0.8668484435355601	0.9761417859577369	0.9393319700068167	0.9447852760736196
SAMEA2466889	FPRA	0.1927088712175769	0.12421497452898408	0.1167731248070574	0.0395263881420832
SAMEA2466889	FNRA	0.004133807152229101	0.634883582088936	0.07949663918159419	0.04189172567566998
SAMEA2466889	F1	0.5733634311447702	0.4691358024575522	0.8218694885216601	0.854511970518333
SAMEA2466889	ACC	0.9141104294457757	0.9511474664827286	0.977050670299984	0.9820495341945421
SAMEA2466889	Dice	0.42663656884875845	0.5308641975308642	0.1781305114638448	0.14548802946593
SAMEA2466890	TP	210.0	95.0	191.0	195.0
SAMEA2466890	FN	26.0	141.0	45.0	41.0
SAMEA2466890	FP	363.0	7.0	25.0	11.0
SAMEA2466890	TN	3802.0	4158.0	4140.0	4154.0
SAMEA2466890	TPR	0.8898305084368715	0.40254237286429906	0.8093220338640118	0.8262711864056664
SAMEA2466890	FPR	0.08715486194456866	0.001680672268903528	0.006002400960369743	0.002641056422562687
