	L1	L2	JSD	Mantel (Pearson)	Mantel (Spearman)
kraken2 + bracken	2113.4173652413956	10.243176057866263	0.012900355984391314	0.9817968081908585	0.980284919850855
metaphlan3	1789.2215894932647	9.819737649963457	0.019196049489352895	0.9340645033216185	0.9328541853800114
motus3	558.7568308524632	3.1799514612069686	0.0062343198757766225	0.9911293199730287	0.9913459909054778
metaphlan4	623.2674812013651	3.008601214310138	0.004220179562660425	0.9959290743472398	0.9960274552364087
