		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466902	Lost_mOTUs_frac	0.0	0.002145922746781116	0.0	0.0	0.13782542113323124
SAMEA3178939	Kept_abundance	1.0	1.0	1.0000000000000002	1.0	0.9767825817769065
SAMEA3178939	Kept_mOTUs	444.0	424.0	369.0	158.0	555.0
SAMEA3178939	Raw_mOTUs	444.0	424.0	369.0	158.0	637.0
SAMEA3178939	Lost_mOTUs	0.0	0.0	0.0	0.0	82.0
SAMEA3178939	Lost_abundance	0.0	0.0	-2.220446049250313e-16	0.0	0.023217418223093533
SAMEA3178939	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.12872841444270017
SAMEA2467021	Kept_abundance	0.9999999999999998	0.9997712584401571	1.0	0.9999999999999999	0.959871755093598
SAMEA2467021	Kept_mOTUs	597.0	540.0	481.0	191.0	647.0
SAMEA2467021	Raw_mOTUs	597.0	541.0	481.0	191.0	737.0
SAMEA2467021	Lost_mOTUs	0.0	1.0	0.0	0.0	90.0
SAMEA2467021	Lost_abundance	2.220446049250313e-16	0.00022874155984287103	0.0	1.1102230246251565e-16	0.04012824490640199
SAMEA2467021	Lost_mOTUs_frac	0.0	0.0018484288354898336	0.0	0.0	0.12211668928086838
SAMEA2467070	Kept_abundance	0.9999999999999999	0.9999999999999999	1.0	0.9999999999999999	0.9728674203494345
SAMEA2467070	Kept_mOTUs	519.0	477.0	401.0	164.0	572.0
SAMEA2467070	Raw_mOTUs	519.0	477.0	401.0	164.0	653.0
SAMEA2467070	Lost_mOTUs	0.0	0.0	0.0	0.0	81.0
SAMEA2467070	Lost_abundance	1.1102230246251565e-16	1.1102230246251565e-16	0.0	1.1102230246251565e-16	0.02713257965056548
SAMEA2467070	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.12404287901990811
SAMEA2467057	Kept_abundance	0.9999999999999998	1.0	1.0	1.0000000000000002	0.9686339248865043
SAMEA2467057	Kept_mOTUs	441.0	421.0	365.0	137.0	480.0
