,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2467064,191,451,116,173,163
SAMEA2467065,233,435,108,219,204
SAMEA2467066,217,406,116,197,180
SAMEA2467067,273,441,140,239,222
SAMEA2467068,88,324,65,85,80
SAMEA2467069,185,332,82,154,147
SAMEA2467070,170,386,92,155,144
SAMEA2467071,175,389,99,151,145
SAMEA2467072,235,419,105,208,202
SAMEA2467073,273,478,138,237,236
SAMEA2467074,302,461,116,261,259
SAMEA2467075,234,460,100,212,204
SAMEA2467076,242,487,141,223,217
SAMEA2467077,232,477,114,209,194
SAMEA2467078,306,489,137,268,254
SAMEA2467079,136,305,71,118,109
SAMEA2467080,225,481,105,185,182
SAMEA2467081,172,423,94,154,158
SAMEA2467082,99,293,59,101,84
SAMEA2467083,203,453,100,172,173
SAMEA2467084,144,337,93,133,128
SAMEA2467085,134,341,78,116,113
SAMEA3136623,123,357,67,113,104
SAMEA3136624,165,338,104,149,140
SAMEA3136625,240,398,119,210,195
SAMEA3136626,106,271,65,87,87
SAMEA3136627,278,506,146,236,243
SAMEA3136628,158,355,88,144,126
SAMEA3136629,254,474,135,220,213
SAMEA3136630,282,483,112,262,250
SAMEA3136631,162,378,83,141,138
SAMEA3136632,274,451,121,249,236
SAMEA3136633,64,264,53,62,55
SAMEA3136634,276,425,115,242,233
SAMEA3136635,87,268,65,79,70
SAMEA3136636,83,275,56,73,64
SAMEA3136637,176,395,96,163,153
SAMEA3136638,189,367,109,166,162
SAMEA3136639,89,250,69,76,74
SAMEA3136640,150,333,76,135,123
SAMEA3136641,252,477,118,225,221
SAMEA3136642,313,503,120,272,264
SAMEA3136643,125,327,89,115,106
SAMEA3136644,324,496,149,301,294
SAMEA3136645,254,473,125,232,215
SAMEA3136646,158,305,102,129,125
SAMEA3136648,229,452,114,205,197
SAMEA3136649,49,256,39,42,39
SAMEA3136650,88,265,49,69,66
SAMEA3136651,206,385,104,180,175
SAMEA3136652,226,429,103,199,181
SAMEA3136653,167,387,110,144,145
SAMEA3136654,274,488,138,237,232
SAMEA3136655,112,321,91,98,92
SAMEA3136656,156,339,108,140,132
SAMEA3136657,102,339,59,95,83
SAMEA3136658,336,499,154,297,295
SAMEA3136659,248,443,113,232,208
SAMEA3136660,114,314,76,102,96
SAMEA3136661,82,287,62,74,65
SAMEA3136662,134,350,80,130,115
SAMEA3136663,172,407,98,151,150
SAMEA3136664,169,391,98,159,152
SAMEA3136665,108,251,84,94,88
SAMEA3136666,204,404,109,176,161
SAMEA3136667,245,422,116,209,213
SAMEA3136668,104,314,75,90,90
SAMEA3136669,182,370,104,169,161
SAMEA3136670,201,398,93,175,163
SAMEA3136671,219,427,110,198,187
SAMEA3136672,192,383,102,173,164
SAMEA3136673,173,360,84,147,145
SAMEA3136674,127,313,68,119,106
SAMEA3136675,287,468,126,252,243
SAMEA3136676,290,469,127,254,242
SAMEA3136677,48,232,22,40,29
SAMEA3136678,200,408,105,170,168
SAMEA3136679,100,300,66,88,79
SAMEA3136680,263,421,151,225,211
SAMEA3136681,37,187,26,28,25
SAMEA3136682,165,387,89,141,133
SAMEA3136683,240,466,101,222,214
SAMEA3136684,304,538,147,273,265
SAMEA3136685,240,436,112,218,207
SAMEA3136686,115,326,77,101,96
SAMEA3136687,126,353,75,112,106
SAMEA3136688,216,445,112,186,179
SAMEA3136689,273,513,130,234,235
SAMEA3136690,46,301,26,41,32
SAMEA3136691,141,337,71,121,121
SAMEA3136692,96,302,58,80,76
