		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466899	Raw_mOTUs	268.0	263.0	226.0	110.0	563.0
SAMEA2466899	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466899	Lost_abundance	0.0	0.00028394212928228857	0.0	0.0	1.1102230246251565e-16
SAMEA2466899	Lost_mOTUs_frac	0.0	0.0038022813688212928	0.0	0.0	0.0
SAMEA2466900	Kept_abundance	1.0	1.0	0.9999999999999998	0.9999999999999999	1.0
SAMEA2466900	Kept_mOTUs	149.0	133.0	116.0	56.0	377.0
SAMEA2466900	Raw_mOTUs	149.0	133.0	116.0	56.0	377.0
SAMEA2466900	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466900	Lost_abundance	0.0	0.0	2.220446049250313e-16	1.1102230246251565e-16	0.0
SAMEA2466900	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466901	Kept_abundance	1.0000000000000002	1.0	1.0	0.9999999999999999	0.9999999999999998
SAMEA2466901	Kept_mOTUs	215.0	216.0	189.0	103.0	444.0
SAMEA2466901	Raw_mOTUs	215.0	216.0	189.0	103.0	444.0
SAMEA2466901	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466901	Lost_abundance	-2.220446049250313e-16	0.0	0.0	1.1102230246251565e-16	2.220446049250313e-16
SAMEA2466901	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466902	Kept_abundance	1.0	1.0000000000000002	0.9999999999999999	1.0	0.9999999999999994
SAMEA2466902	Kept_mOTUs	142.0	147.0	128.0	72.0	515.0
SAMEA2466902	Raw_mOTUs	142.0	147.0	128.0	72.0	515.0
SAMEA2466902	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466902	Lost_abundance	0.0	-2.220446049250313e-16	1.1102230246251565e-16	0.0	5.551115123125783e-16
SAMEA2466902	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466903	Kept_abundance	1.0	0.9992733215283631	1.0	1.0	0.9999999999999998
SAMEA2466903	Kept_mOTUs	265.0	241.0	223.0	101.0	594.0
SAMEA2466903	Raw_mOTUs	265.0	242.0	223.0	101.0	594.0
SAMEA2466903	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466903	Lost_abundance	0.0	0.0007266784716368768	0.0	0.0	2.220446049250313e-16
SAMEA2466903	Lost_mOTUs_frac	0.0	0.004132231404958678	0.0	0.0	0.0
SAMEA2466904	Kept_abundance	1.0	0.9999999999999999	1.0	1.0	0.9999999999999999
SAMEA2466904	Kept_mOTUs	237.0	223.0	204.0	113.0	559.0
SAMEA2466904	Raw_mOTUs	237.0	223.0	204.0	113.0	559.0
SAMEA2466904	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466904	Lost_abundance	0.0	1.1102230246251565e-16	0.0	0.0	1.1102230246251565e-16
SAMEA2466904	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466905	Kept_abundance	1.0	1.0	0.9999999999999999	1.0	1.0
SAMEA2466905	Kept_mOTUs	196.0	198.0	167.0	95.0	542.0
SAMEA2466905	Raw_mOTUs	196.0	198.0	167.0	95.0	542.0
SAMEA2466905	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466905	Lost_abundance	0.0	0.0	1.1102230246251565e-16	0.0	0.0
SAMEA2466905	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466906	Kept_abundance	1.0	0.9997831756311395	0.9999999999999999	1.0	1.0
SAMEA2466906	Kept_mOTUs	275.0	289.0	244.0	122.0	577.0
SAMEA2466906	Raw_mOTUs	275.0	290.0	244.0	122.0	577.0
SAMEA2466906	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466906	Lost_abundance	0.0	0.00021682436886050205	1.1102230246251565e-16	0.0	0.0
SAMEA2466906	Lost_mOTUs_frac	0.0	0.0034482758620689655	0.0	0.0	0.0
SAMEA2466907	Kept_abundance	0.9999999999999999	1.0	0.9999999999999998	1.0	1.0000000000000002
SAMEA2466907	Kept_mOTUs	116.0	123.0	100.0	69.0	394.0
SAMEA2466907	Raw_mOTUs	116.0	123.0	100.0	69.0	394.0
SAMEA2466907	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466907	Lost_abundance	1.1102230246251565e-16	0.0	2.220446049250313e-16	0.0	-2.220446049250313e-16
SAMEA2466907	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466908	Kept_abundance	1.0	1.0	1.0	1.0	1.0
SAMEA2466908	Kept_mOTUs	271.0	280.0	238.0	123.0	553.0
SAMEA2466908	Raw_mOTUs	271.0	280.0	238.0	123.0	553.0
SAMEA2466908	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466908	Lost_abundance	0.0	0.0	0.0	0.0	0.0
SAMEA2466908	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466910	Kept_abundance	1.0	1.0	1.0	1.0000000000000002	1.0000000000000002
SAMEA2466910	Kept_mOTUs	220.0	222.0	192.0	94.0	544.0
SAMEA2466910	Raw_mOTUs	220.0	222.0	192.0	94.0	544.0
SAMEA2466910	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466910	Lost_abundance	0.0	0.0	0.0	-2.220446049250313e-16	-2.220446049250313e-16
SAMEA2466910	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466911	Kept_abundance	1.0	0.999523393192687	1.0	1.0	1.0
SAMEA2466911	Kept_mOTUs	328.0	313.0	283.0	139.0	585.0
SAMEA2466911	Raw_mOTUs	328.0	315.0	283.0	139.0	585.0
SAMEA2466911	Lost_mOTUs	0.0	2.0	0.0	0.0	0.0
SAMEA2466911	Lost_abundance	0.0	0.00047660680731298477	0.0	0.0	0.0
SAMEA2466911	Lost_mOTUs_frac	0.0	0.006349206349206349	0.0	0.0	0.0
SAMEA2466912	Kept_abundance	0.9999999999999999	1.0	1.0	1.0	0.9999999999999999
SAMEA2466912	Kept_mOTUs	150.0	153.0	125.0	75.0	409.0
SAMEA2466912	Raw_mOTUs	150.0	153.0	125.0	75.0	409.0
SAMEA2466912	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466912	Lost_abundance	1.1102230246251565e-16	0.0	0.0	0.0	1.1102230246251565e-16
SAMEA2466912	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466913	Kept_abundance	1.0	1.0	1.0	1.0	0.9999999999999999
SAMEA2466913	Kept_mOTUs	262.0	258.0	229.0	115.0	583.0
SAMEA2466913	Raw_mOTUs	262.0	258.0	229.0	115.0	583.0
SAMEA2466913	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466913	Lost_abundance	0.0	0.0	0.0	0.0	1.1102230246251565e-16
SAMEA2466913	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466914	Kept_abundance	1.0	0.999610888924963	1.0	1.0	1.0000000000000002
SAMEA2466914	Kept_mOTUs	214.0	208.0	179.0	101.0	446.0
SAMEA2466914	Raw_mOTUs	214.0	209.0	179.0	101.0	446.0
SAMEA2466914	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466914	Lost_abundance	0.0	0.0003891110750370297	0.0	0.0	-2.220446049250313e-16
SAMEA2466914	Lost_mOTUs_frac	0.0	0.004784688995215311	0.0	0.0	0.0
SAMEA2466915	Kept_abundance	1.0	0.9992960904691428	0.9999999999999998	1.0	1.0
SAMEA2466915	Kept_mOTUs	212.0	205.0	179.0	90.0	394.0
SAMEA2466915	Raw_mOTUs	212.0	206.0	179.0	90.0	394.0
SAMEA2466915	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466915	Lost_abundance	0.0	0.0007039095308571941	2.220446049250313e-16	0.0	0.0
SAMEA2466915	Lost_mOTUs_frac	0.0	0.0048543689320388345	0.0	0.0	0.0
SAMEA2466916	Kept_abundance	1.0	0.9999999999999999	1.0000000000000002	1.0	1.0000000000000002
SAMEA2466916	Kept_mOTUs	154.0	174.0	140.0	85.0	484.0
SAMEA2466916	Raw_mOTUs	154.0	174.0	140.0	85.0	484.0
SAMEA2466916	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466916	Lost_abundance	0.0	1.1102230246251565e-16	-2.220446049250313e-16	0.0	-2.220446049250313e-16
SAMEA2466916	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466917	Kept_abundance	1.0	0.9999999999999999	0.9999999999999999	1.0	1.0
SAMEA2466917	Kept_mOTUs	69.0	66.0	57.0	41.0	321.0
SAMEA2466917	Raw_mOTUs	69.0	66.0	57.0	41.0	321.0
SAMEA2466917	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466917	Lost_abundance	0.0	1.1102230246251565e-16	1.1102230246251565e-16	0.0	0.0
SAMEA2466917	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466918	Kept_abundance	1.0	0.9997212503195279	1.0	1.0	1.0
SAMEA2466918	Kept_mOTUs	226.0	227.0	191.0	98.0	467.0
SAMEA2466918	Raw_mOTUs	226.0	228.0	191.0	98.0	467.0
SAMEA2466918	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466918	Lost_abundance	0.0	0.00027874968047214566	0.0	0.0	0.0
SAMEA2466918	Lost_mOTUs_frac	0.0	0.0043859649122807015	0.0	0.0	0.0
SAMEA2466920	Kept_abundance	0.9999999999999999	0.9988673260020355	1.0	1.0	1.0000000000000002
SAMEA2466920	Kept_mOTUs	91.0	84.0	76.0	46.0	375.0
SAMEA2466920	Raw_mOTUs	91.0	85.0	76.0	46.0	375.0
SAMEA2466920	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466920	Lost_abundance	1.1102230246251565e-16	0.0011326739979644618	0.0	0.0	-2.220446049250313e-16
SAMEA2466920	Lost_mOTUs_frac	0.0	0.011764705882352941	0.0	0.0	0.0
SAMEA2466921	Kept_abundance	0.9999999999999999	1.0000000000000002	1.0	1.0	1.0
SAMEA2466921	Kept_mOTUs	221.0	227.0	192.0	104.0	511.0
SAMEA2466921	Raw_mOTUs	221.0	227.0	192.0	104.0	511.0
SAMEA2466921	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466921	Lost_abundance	1.1102230246251565e-16	-2.220446049250313e-16	0.0	0.0	0.0
SAMEA2466921	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466922	Kept_abundance	1.0	0.9995245711709494	1.0000000000000002	1.0	1.0
SAMEA2466922	Kept_mOTUs	161.0	155.0	137.0	59.0	394.0
SAMEA2466922	Raw_mOTUs	161.0	156.0	137.0	59.0	394.0
SAMEA2466922	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466922	Lost_abundance	0.0	0.0004754288290506059	-2.220446049250313e-16	0.0	0.0
SAMEA2466922	Lost_mOTUs_frac	0.0	0.00641025641025641	0.0	0.0	0.0
SAMEA2466923	Kept_abundance	1.0	0.9999999999999999	1.0	1.0000000000000002	1.0000000000000002
SAMEA2466923	Kept_mOTUs	110.0	115.0	92.0	63.0	413.0
SAMEA2466923	Raw_mOTUs	110.0	115.0	92.0	63.0	413.0
SAMEA2466923	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466923	Lost_abundance	0.0	1.1102230246251565e-16	0.0	-2.220446049250313e-16	-2.220446049250313e-16
SAMEA2466923	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466924	Kept_abundance	1.0	1.0000000000000002	1.0	0.9999999999999999	1.0000000000000002
SAMEA2466924	Kept_mOTUs	137.0	144.0	122.0	68.0	406.0
SAMEA2466924	Raw_mOTUs	137.0	144.0	122.0	68.0	406.0
SAMEA2466924	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466924	Lost_abundance	0.0	-2.220446049250313e-16	0.0	1.1102230246251565e-16	-2.220446049250313e-16
SAMEA2466924	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466925	Kept_abundance	1.0	0.9996257489176228	1.0	0.9999999999999999	1.0000000000000002
SAMEA2466925	Kept_mOTUs	318.0	313.0	281.0	135.0	638.0
SAMEA2466925	Raw_mOTUs	318.0	314.0	281.0	135.0	638.0
SAMEA2466925	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466925	Lost_abundance	0.0	0.0003742510823772083	0.0	1.1102230246251565e-16	-2.220446049250313e-16
SAMEA2466925	Lost_mOTUs_frac	0.0	0.0031847133757961785	0.0	0.0	0.0
SAMEA2466926	Kept_abundance	1.0	0.9999999999999997	0.9999999999999999	0.9999999999999998	1.0
SAMEA2466926	Kept_mOTUs	182.0	176.0	142.0	95.0	449.0
SAMEA2466926	Raw_mOTUs	182.0	176.0	142.0	95.0	449.0
SAMEA2466926	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466926	Lost_abundance	0.0	3.3306690738754696e-16	1.1102230246251565e-16	2.220446049250313e-16	0.0
SAMEA2466926	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466927	Kept_abundance	1.0	0.9995121357470038	1.0	1.0	0.9999999999999999
SAMEA2466927	Kept_mOTUs	236.0	247.0	207.0	118.0	581.0
SAMEA2466927	Raw_mOTUs	236.0	248.0	207.0	118.0	581.0
SAMEA2466927	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466927	Lost_abundance	0.0	0.0004878642529961841	0.0	0.0	1.1102230246251565e-16
SAMEA2466927	Lost_mOTUs_frac	0.0	0.004032258064516129	0.0	0.0	0.0
SAMEA2466928	Kept_abundance	1.0	1.0	1.0	1.0	1.0000000000000002
SAMEA2466928	Kept_mOTUs	159.0	163.0	140.0	78.0	426.0
SAMEA2466928	Raw_mOTUs	159.0	163.0	140.0	78.0	426.0
SAMEA2466928	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466928	Lost_abundance	0.0	0.0	0.0	0.0	-2.220446049250313e-16
SAMEA2466928	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466930	Kept_abundance	1.0	1.0	1.0	1.0	1.0
SAMEA2466930	Kept_mOTUs	277.0	260.0	241.0	122.0	592.0
SAMEA2466930	Raw_mOTUs	277.0	260.0	241.0	122.0	592.0
SAMEA2466930	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466930	Lost_abundance	0.0	0.0	0.0	0.0	0.0
SAMEA2466930	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466931	Kept_abundance	1.0	1.0	1.0000000000000002	1.0	0.9999999999999998
SAMEA2466931	Kept_mOTUs	199.0	193.0	175.0	85.0	521.0
SAMEA2466931	Raw_mOTUs	199.0	193.0	175.0	85.0	521.0
SAMEA2466931	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466931	Lost_abundance	0.0	0.0	-2.220446049250313e-16	0.0	2.220446049250313e-16
SAMEA2466931	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466932	Kept_abundance	1.0	0.9998560909483328	1.0	1.0	1.0
SAMEA2466932	Kept_mOTUs	297.0	297.0	267.0	120.0	631.0
SAMEA2466932	Raw_mOTUs	297.0	298.0	267.0	120.0	631.0
SAMEA2466932	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466932	Lost_abundance	0.0	0.00014390905166716816	0.0	0.0	0.0
SAMEA2466932	Lost_mOTUs_frac	0.0	0.003355704697986577	0.0	0.0	0.0
SAMEA2466933	Kept_abundance	1.0	1.0	1.0	1.0	0.9999999999999999
SAMEA2466933	Kept_mOTUs	156.0	160.0	133.0	91.0	443.0
SAMEA2466933	Raw_mOTUs	156.0	160.0	133.0	91.0	443.0
SAMEA2466933	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466933	Lost_abundance	0.0	0.0	0.0	0.0	1.1102230246251565e-16
SAMEA2466933	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466934	Kept_abundance	1.0000000000000002	1.0	1.0	1.0	1.0000000000000002
SAMEA2466934	Kept_mOTUs	278.0	272.0	237.0	114.0	620.0
SAMEA2466934	Raw_mOTUs	278.0	272.0	237.0	114.0	620.0
SAMEA2466934	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466934	Lost_abundance	-2.220446049250313e-16	0.0	0.0	0.0	-2.220446049250313e-16
SAMEA2466934	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466935	Kept_abundance	1.0	1.0	0.9999999999999999	1.0	1.0
SAMEA2466935	Kept_mOTUs	180.0	166.0	152.0	83.0	487.0
SAMEA2466935	Raw_mOTUs	180.0	166.0	152.0	83.0	487.0
SAMEA2466935	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466935	Lost_abundance	0.0	0.0	1.1102230246251565e-16	0.0	0.0
SAMEA2466935	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466936	Kept_abundance	1.0	1.0	0.9999999999999998	1.0	1.0
SAMEA2466936	Kept_mOTUs	149.0	148.0	125.0	72.0	445.0
SAMEA2466936	Raw_mOTUs	149.0	148.0	125.0	72.0	445.0
SAMEA2466936	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466936	Lost_abundance	0.0	0.0	2.220446049250313e-16	0.0	0.0
SAMEA2466936	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466937	Kept_abundance	1.0	1.0	1.0	1.0	1.0000000000000004
SAMEA2466937	Kept_mOTUs	227.0	229.0	198.0	97.0	606.0
SAMEA2466937	Raw_mOTUs	227.0	229.0	198.0	97.0	606.0
SAMEA2466937	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466937	Lost_abundance	0.0	0.0	0.0	0.0	-4.440892098500626e-16
SAMEA2466937	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466938	Kept_abundance	1.0000000000000002	1.0	1.0	1.0	1.0
SAMEA2466938	Kept_mOTUs	256.0	238.0	210.0	115.0	541.0
SAMEA2466938	Raw_mOTUs	256.0	238.0	210.0	115.0	541.0
SAMEA2466938	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466938	Lost_abundance	-2.220446049250313e-16	0.0	0.0	0.0	0.0
SAMEA2466938	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466939	Kept_abundance	1.0	1.0	0.9999999999999999	1.0	1.0
SAMEA2466939	Kept_mOTUs	260.0	238.0	213.0	89.0	578.0
SAMEA2466939	Raw_mOTUs	260.0	238.0	213.0	89.0	578.0
SAMEA2466939	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466939	Lost_abundance	0.0	0.0	1.1102230246251565e-16	0.0	0.0
SAMEA2466939	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466940	Kept_abundance	1.0	1.0	1.0	1.0	1.0
SAMEA2466940	Kept_mOTUs	247.0	239.0	213.0	116.0	558.0
SAMEA2466940	Raw_mOTUs	247.0	239.0	213.0	116.0	558.0
SAMEA2466940	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466940	Lost_abundance	0.0	0.0	0.0	0.0	0.0
SAMEA2466940	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466941	Kept_abundance	1.0	1.0	0.9999999999999999	1.0	1.0
SAMEA2466941	Kept_mOTUs	161.0	174.0	144.0	91.0	512.0
SAMEA2466941	Raw_mOTUs	161.0	174.0	144.0	91.0	512.0
SAMEA2466941	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466941	Lost_abundance	0.0	0.0	1.1102230246251565e-16	0.0	0.0
SAMEA2466941	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466942	Kept_abundance	1.0	0.9999999999999999	0.9999999999999999	1.0	1.0
SAMEA2466942	Kept_mOTUs	321.0	315.0	275.0	127.0	620.0
SAMEA2466942	Raw_mOTUs	321.0	315.0	275.0	127.0	620.0
SAMEA2466942	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466942	Lost_abundance	0.0	1.1102230246251565e-16	1.1102230246251565e-16	0.0	0.0
SAMEA2466942	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466943	Kept_abundance	1.0	1.0	1.0	1.0000000000000002	1.0
SAMEA2466943	Kept_mOTUs	323.0	310.0	274.0	135.0	588.0
SAMEA2466943	Raw_mOTUs	323.0	310.0	274.0	135.0	588.0
SAMEA2466943	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466943	Lost_abundance	0.0	0.0	0.0	-2.220446049250313e-16	0.0
SAMEA2466943	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466944	Kept_abundance	1.0000000000000002	1.0	1.0	1.0	1.0000000000000002
SAMEA2466944	Kept_mOTUs	176.0	170.0	142.0	88.0	502.0
