,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2467065,597,607,189,499,486
SAMEA2467066,618,594,210,478,436
SAMEA2467067,633,604,227,521,490
SAMEA2467068,494,468,153,311,272
SAMEA2467069,504,482,154,400,365
SAMEA2467070,519,542,181,434,400
SAMEA2467071,676,574,187,470,388
SAMEA2467072,709,670,204,582,555
SAMEA2467073,453,559,170,404,394
SAMEA2467074,656,634,193,554,518
SAMEA2467075,573,603,181,486,455
SAMEA2467076,559,585,215,475,457
SAMEA2467077,610,632,187,503,472
SAMEA2467078,627,623,213,524,515
SAMEA2467079,435,423,152,350,315
SAMEA2467080,655,624,195,551,504
SAMEA2467081,627,566,169,438,372
SAMEA2467082,485,453,130,314,257
SAMEA2467083,805,671,186,565,472
SAMEA2467084,688,545,172,446,357
SAMEA2467085,735,525,157,401,314
SAMEA3136623,298,403,109,264,249
SAMEA3136624,390,449,170,339,325
SAMEA3136625,454,688,202,413,367
SAMEA3136626,352,374,113,301,289
SAMEA3136627,613,650,215,521,521
SAMEA3136628,346,678,129,299,258
SAMEA3136629,499,703,220,435,413
SAMEA3136630,564,557,149,501,464
SAMEA3136631,407,459,167,344,346
SAMEA3136632,617,711,193,521,491
SAMEA3136633,306,517,123,246,214
SAMEA3136634,501,520,161,447,428
SAMEA3136635,320,398,134,268,245
SAMEA3136636,311,344,130,258,247
SAMEA3136637,396,677,143,357,312
SAMEA3136638,503,527,177,433,404
SAMEA3136639,277,353,123,232,204
SAMEA3136640,436,467,136,372,357
SAMEA3136641,626,641,191,508,478
SAMEA3136642,694,637,185,595,556
SAMEA3136643,368,599,153,329,290
SAMEA3136644,678,647,220,568,549
SAMEA3136645,570,608,182,489,470
SAMEA3136646,356,441,148,317,300
SAMEA3136647,214,261,95,182,161
SAMEA3136648,544,661,183,468,447
SAMEA3136649,206,309,88,179,172
SAMEA3136650,288,346,104,252,230
SAMEA3136651,491,683,165,425,396
SAMEA3136652,589,760,190,509,466
SAMEA3136653,415,626,167,364,330
SAMEA3136654,640,666,218,534,517
SAMEA3136655,375,585,170,311,281
SAMEA3136656,445,444,190,364,341
SAMEA3136657,368,671,134,299,262
SAMEA3136658,650,739,219,562,528
SAMEA3136659,639,599,189,532,502
SAMEA3136660,296,644,113,263,220
SAMEA3136661,288,543,117,253,208
SAMEA3136662,360,436,132,317,298
SAMEA3136663,444,642,157,399,358
SAMEA3136664,422,618,162,368,336
SAMEA3136665,322,412,157,250,228
SAMEA3136666,412,686,168,375,341
SAMEA3136667,489,548,187,430,408
SAMEA3136668,278,574,128,243,217
SAMEA3136669,487,511,184,415,400
SAMEA3136670,444,628,152,390,370
SAMEA3136671,482,539,168,425,400
SAMEA3136672,442,634,166,379,350
SAMEA3136673,465,623,155,394,370
SAMEA3136674,400,465,139,349,321
SAMEA3136675,547,567,186,479,459
SAMEA3136676,562,720,180,511,456
SAMEA3136677,235,311,98,200,184
SAMEA3136678,371,475,150,304,288
SAMEA3136679,281,370,136,236,233
SAMEA3136680,554,566,220,447,419
