	L1	L2	JSD	Mantel (Pearson)	Mantel (Spearman)
kraken2 + bracken	1414379.0737536973	6394.40248837138	0.024707256765080194	0.7730912727069305	0.753829059297405
metaphlan3	2301116.7160063214	9757.97842544155	0.02266404864618382	0.7969276650634003	0.7751181041138442
motus3	111079.78190360546	570.46442199768	0.005163996383993302	0.990256639133234	0.9886183728028348
metaphlan4	265049.48222783767	1173.6512386723382	0.00453191830966562	0.9927746751276815	0.9914106144142301
